time,ETI-IST,AW-NWZ,AW-NWZ,NWZ-MENSA,NWZ-WW,ETI-IW,IW-HdS,HdS-ARENA,ARENA-HKW,MENSA-MPA,MPA-HKW,NWZ-STP,STP-DLR,DLR-Muff_HKW-DLR,DLR-Muff_DLR-ATRIUM,HdM-RZ,RZ-Birkhof,RZ-KZS,AW-IFB,IFB-VFG,VFG-Bio,Bio-VISUS,Bio-MIKRO,MIKRO-SPZ,MIKRO-KZS,KZS-IFF,IFKB-AW Erw.,HKW-L3 RN,HKW-AERO,AERO-Statik,Statik-L3 RN,HKW-KZN,KZN-ENTE,KZN-ILA1 RN,ILA1 RN-ILA2 RN,ILA1 RN-IVK RN,IVK RN-OGI,OGI-Polizei,OGI-HKW,AW-Muff_AW-INFO,Muff_AW-INFO-INFO,INFO-Muff_INFO-ETI,Muff_INFO-ETI-ETI,Muff_HKW-DLR-HKW,Muff_DLR-ATRIUM-ATRIUM,DLR-KLW,AW-Muff_AW-ZHI,Muff_AW-ZHI-ZHI,ZHI-Muff_ZHI-HdM,Muff_ZHI-HdM-HdM,AW Erw.-Muff_AW-KZS1,Muff_AW-KZS1-Muff_AW-KZS2,Muff_AW-KZS2-KZS,IFF-Muff_IFF-ZAQ,Muff_IFF-ZAQ-ZAQ,ZAQ-Muff_ZAQ-IFKB,Muff_ZAQ-IFKB-IFKB,AW-HLRS 1,HLRS 1-HLRS 2,HLRS 2-AW Erw.,AW Erw.-AW 2.Erw.,ES4-AW 2.Erw.,AW 2.Erw.-AW,Muff_AW-INFO-Batt1_Muff_AW-INFO,Muff_INFO-ETI-Batt2_Muff_INFO-ETI,Muff_AW-ZHI-Batt3_Muff_AW-ZHI,Muff_HKW-DLR-Batt4_Muff_HKW-DLR,Muff_DLR-ATRIUM-Batt5_Muff_DLR-ATRIUM,Muff_ZHI-HdM-Batt6_Muff_ZHI-HdM,Muff_AW-KZS1-Batt7_Muff_AW-KZS1,Muff_AW-KZS2-Batt8_Muff_AW-KZS2,Muff_IFF-ZAQ-Batt9_Muff_IFF-ZAQ,Muff_ZAQ-IFKB-Batt10_Muff_ZAQ-IFKB
01.01.2023 00:00,-35.78280776058981,-1034.0600802205236,-1034.0600802205236,-755.4898314965649,-19.264382885337486,-155.3261792542741,-33.392246075733446,-2.998602374028279,30.461071003590277,-745.5949800348055,-568.3886087743559,-531.8459611310749,-488.33336499809593,-480.689940064029,-7.6434249329139305,-1901.8274798462382,0.0,-1792.3297559091313,631.9988904126378,702.8873256926702,759.9854697830605,-28.09303391470676,949.8737308613838,-9.472102821117655,959.3458336824649,-303.2911257336145,-242.3419565263835,-134.30812906917095,-59.278340993210115,-8.028629166337176,10.32381523723522,-160.13554300826968,-32.311221184341015,19.845384583063304,0.0,111.48342144332057,259.55788209438515,0.0,363.11049430609165,-499.8952608586476,-499.89527643879853,-369.6493763040172,-369.64939601979376,-480.6899570877015,-7.643444456770894,0.0,3316.055270089024,3316.055251479118,3316.055251479162,-1901.8274798462417,101.85128794520415,101.85126923916498,101.85124630139862,-277.8790857593605,-277.8791062446173,-277.8791062446118,-277.8791327408158,-1383.6777154904591,340.5542681840781,340.55426818406403,-3.63897628751144,-2.2641405973148026e-10,-3.638976287517565,0.0,0.0,0.0,0.0,0.0,5217.882713100225,0.0,0.0,0.0,0.0
01.01.2023 00:15,-36.160810350386605,1293.2713278602942,1293.2713278602942,373.4817265264544,-16.3691960511858,352.0763163533806,474.02729017563234,502.9880284968166,532.4415688864871,382.3944811751735,551.7989703978552,3001.2145007218774,3044.9923221288755,-2038.2415824521763,5083.233904581047,-207.2232738327538,0.0,-112.96736211658985,-543.7757979394075,-476.2828154828914,-420.0304743925621,-28.82126760653366,-235.29290688477877,-9.441624785962189,-225.85128209884002,30.5765135741425,90.01942095899254,-121.62282411142186,-57.01266407858259,-6.52450606870674,11.589189855930673,-156.3138286158221,-31.798199074863376,22.13582989585079,0.0,105.84233795781674,246.1006562550844,0.0,350.1551359617174,21.495547460043554,21.495531879669613,136.47125333573774,136.4712336198187,-2038.241599475246,-7.412606240015799,1.262424417068028e-10,-207.2232369977686,-207.2232556076147,-207.22325560762232,-207.22327383280648,-20.30709595727931,-20.307114663267463,-20.30713760103752,56.04441306858336,56.044392583319784,56.0443925833216,56.044366087031776,-1843.3481731823376,-96.63552185519555,-96.63552185513416,13.690995061069623,-2.2090866259332712e-10,13.690995061077084,0.0,0.0,0.0,0.0,5090.646491297646,0.0,0.0,0.0,0.0,0.0
01.01.2023 00:30,-35.97305244657446,1193.169881022607,1193.169881022607,345.7359874288211,-18.449284000783837,327.98122335598674,445.1703112591666,474.28921024706693,502.6002284705484,354.84217862264813,501.0364229127631,2829.1896171337557,2873.1999696825696,-1934.8140658182006,4808.014035500767,-204.7956638193065,0.0,-111.80768800243514,-547.2650562844356,-480.2476689450038,-424.813197121795,-28.674665319427735,-225.2519034151334,-9.3597484219261,-215.89215499322896,33.74149517512739,94.77768037817292,-124.29747866403645,-56.02727222721428,-7.145169025820698,10.32102653789223,-142.67783161766576,-28.018503190249127,16.550247912903277,0.0,95.75650429401587,233.80074975420595,0.0,333.4225582075378,9.11533204849485,9.115316468120398,123.67552225301552,123.67550253709845,-1934.8140828412656,-7.607083161206215,1.203139502116937e-10,-204.79562698431738,-204.7956455941645,-204.79564559417258,-204.79566381935538,-21.51242639622658,-21.51244510221911,-21.512468039986185,59.2913239099829,59.29130342471682,59.29130342471864,59.291276928432,-1630.6738279055028,-103.56952385498678,-103.56952385492994,12.720582919404274,-2.08970561222695e-10,12.720582919411251,0.0,0.0,0.0,0.0,4815.621099138549,0.0,0.0,0.0,0.0,0.0
01.01.2023 00:45,-32.7187823886594,1205.1066053332336,1205.1066053332336,340.593097354027,-16.7058114644074,351.286951787554,468.69010492624847,496.5777069459607,525.9341726115119,345.8100768132538,487.88609893889645,2768.2811490890977,2811.9932565899353,-1893.2559788065635,4705.249235396495,-205.95821794043454,0.0,-104.65196955472776,-555.1618661345385,-482.3078719948622,-426.95989906551455,-25.542009921104647,-220.522840592304,-8.478082339999949,-212.04475825232603,39.58205203059344,92.90096792420523,-120.67884239777216,-58.928401291077655,-4.957333584524983,12.342765493010132,-113.39123407996149,-39.17973523612134,-3.422298714938866,0.0,77.05586523109861,226.19304771617715,0.0,320.65071499580864,-10.276072091671836,-10.276087672044923,107.27916933705762,107.27914962114068,-1893.2559958296263,-7.1950767168984795,1.1509883362576786e-10,-205.95818110544474,-205.9581997152922,-205.9581997153,-205.95821794048274,-21.64158782859112,-21.641606534583964,-21.641629472351337,59.314994177087435,59.31497369182022,59.31497369182181,59.31494719553608,-1626.1780818823788,-101.90354630040545,-101.90354630035043,12.639009452385261,-2.0446652007038614e-10,12.639009452392083,0.0,0.0,0.0,0.0,4712.444292589968,0.0,0.0,0.0,0.0,0.0
01.01.2023 01:00,-31.04521714608596,26.373003391374255,26.373003391374255,410.36070399536925,-16.340731286019246,-1884.7703659917322,-1760.9636239520457,-1734.221463495352,-1707.2203191426026,414.36439984488675,540.7677062475552,284.13332842451524,322.8934906303449,330.57717423192435,-7.683683601170725,-198.2949945827073,0.0,-106.14000171862527,-541.8226703308453,-480.38867769209935,-423.9806572189861,-24.3141412498313,-206.8747118201019,-8.565377010081725,-198.30933481006437,37.509585899271386,91.75310235950423,-108.19770343000972,-55.62106123809946,-2.8170282284096437,12.186853385018773,-104.8978660133453,-28.911523637403842,-5.669793584841303,0.0,73.67830358896803,209.07490360121412,0.0,306.0010413085046,2263.1574549125858,2263.1574393322303,2391.0209142668764,-2101.0315826550495,330.5771572089592,-7.683703124982372,0.0,-198.29495774764655,-198.2949763575478,-198.29497635751494,-198.29499458271934,-20.903248254962325,-20.903266960964235,-20.903289898717055,57.2672652942302,57.26724480898072,57.267244808962076,57.26721831278196,-1563.5512847113382,-100.42180170909731,-100.42180170910368,12.234548905363868,-1.948921261380409e-10,12.23454890536681,0.0,4492.052477206052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 01:15,-28.820630456411724,-706.4563291702054,-706.4563291702054,-452.59494561579504,-16.751855201125675,-466.3000482758548,-346.73118502665517,-319.3526317835955,-293.36006152123264,-448.1781177473995,-319.31010578422854,-328.4254833189547,-285.3069031829646,-277.84626530663843,-7.460637875901185,-200.4872074600285,0.0,-107.97918902864113,-537.6988255235665,-476.230675459672,-420.79564732743717,-28.07616834412491,-216.7275466719623,-8.781692896017148,-207.94585377599302,36.16956428633727,93.13879313487801,-107.4820096105478,-54.78069793435459,-2.8525922258386913,11.75003363066575,-123.2832891608152,-30.65517243835061,1.7705923710617029,0.0,87.68439554525764,224.93964617104726,0.0,328.90351155615855,3758.933360230823,-797.7622301557578,-675.6917434050326,-675.6917631209601,-277.84628232958505,-7.460657399716949,1.5717467986601292e-10,-200.48717062496314,-200.4871892348129,-200.4871892348321,-200.48720745999438,-21.001908181149396,-21.001926887195488,-21.001949824952927,57.615484923658066,57.615464438331735,57.61546443833151,57.61543794210898,-1595.377479221225,-101.68347479538559,-101.68347479532011,12.457226520649593,-1.9770993741425152e-10,12.457226520650503,4556.695574806226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 01:30,-23.99762187943271,-877.6269933322781,-877.6269933322781,-655.8037612842584,-17.19423746860612,-117.60057657760586,-13.895531368607196,16.74073932452903,43.362005371005864,-652.9235926142786,-523.5599219534328,-476.32986070565516,-428.2036301391083,-420.3570780537259,-7.84655208434086,-1713.8336052779327,0.0,-1620.7912519644565,553.3914264955017,625.7817660910164,680.1437980262364,-29.82227418052283,880.7468647184953,-8.123550925076174,888.8704156435376,-275.42884243869884,-222.06740745267922,-121.48922628708563,-57.3924214962438,-4.7630122585007975,10.632316605096163,-119.36719487606102,-30.89305226297068,-4.384873851866107,0.0,89.85226574659828,230.1590287049174,0.0,333.27196906199754,-448.90985293125414,-448.9098685114239,-329.01639723354623,-329.016416949334,-420.3570950773309,-7.846571608166214,0.0,3001.306643061289,3001.306624451387,3001.306624451428,-1713.8336052779366,93.66308076972535,93.66306206368728,93.6630391259208,-255.8342255069196,-255.8342459921791,-255.8342459921741,-255.83427248838058,-1353.411385868223,312.853332316047,312.85333231603516,-2.8771559063573022,-2.0459008761920706e-10,-2.8771559063627734,0.0,0.0,0.0,0.0,0.0,4715.140211504186,0.0,0.0,0.0,0.0
01.01.2023 01:45,-42.63481654347773,69.33395682139212,69.33395682139212,483.69373370319465,-15.625715521528805,-2051.4519357068543,-1949.5716723383039,-1918.4017690001165,-1895.3490701717312,486.71505047478274,609.7651237014762,327.2786555550698,375.93378609834394,385.05245257785265,-9.118666479061117,-207.98977290427612,0.0,-106.80485173979802,-567.3867597311187,-500.1597029248765,-450.98785281372847,-29.747438220996717,-214.6386368382871,-8.539712774847798,-206.09892406348789,27.80227452467883,91.32408689065772,-117.52907197517416,-57.50838838060501,-4.035971534185375,11.525790834241505,-124.98120178251632,-27.807035711470583,-0.41252955519732,0.0,93.11673216024407,233.81491316291024,0.0,333.8667038327099,2519.5214459813938,2519.521430401039,2638.9319909013975,-2288.8556412574326,385.05243555488994,-9.118686002899455,0.0,-207.9897360692148,-207.9897546791193,-207.9897546790815,-207.98977290429062,-19.94416159045608,-19.944180296451837,-19.944203234207855,55.098109046219705,55.098088560975455,55.09808856095522,55.09806206477874,-1868.9509586913418,-97.4063433487602,-97.40634334876793,13.861905132349806,-2.1378103841290757e-10,13.86190513235316,0.0,4927.787612442958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 02:00,-40.47238374324726,-683.9249138271412,-683.9249138271412,-395.59480259731856,-14.938493575272716,-462.59348708549993,-364.92166654613516,-335.85817894107623,-311.6015882292591,-392.6336411502516,-278.55038557828874,-297.2108270861779,-247.34173925366704,-237.96284593898903,-9.378893314224612,-212.0058003038691,0.0,-111.85693449865043,-608.3461971320423,-541.4687722488968,-484.06362697593846,-29.317509353955597,-197.6680690240877,-8.241209957089861,-189.42685906704892,32.91087953017324,92.8144251521952,-117.6890212634963,-57.41395328418554,-4.062598823749356,11.412259448571184,-128.4788417903457,-27.869448318397225,7.1535927080149255,0.0,93.26268203715414,219.3418929230116,0.0,322.9474065443173,4053.549426433128,-813.7309593259988,-693.4376083027621,-693.437628018693,-237.96286296193236,-9.378912838058959,1.6964633480809807e-10,-212.00576346880274,-212.00578207865198,-212.00578207867056,-212.00580030383352,-20.93259376772547,-20.932612473769446,-20.932635411529798,57.664169791287456,57.66414930596226,57.664149305961125,57.66412280973496,-1851.5005231055504,-99.89990384748788,-99.89990384741921,13.84711507244081,-2.1112424063600843e-10,13.847115072442074,4867.280370178774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 02:15,-37.996055139140836,-113049.1238393816,-113049.1238393816,-88096.77723797993,-17.760436814451882,24311.817710107418,24416.915374577427,24447.565030215166,24470.745315468826,-88093.13312085193,-88000.67185406666,-137363.13341522237,-137321.95096034653,-37315.26141949474,-100006.68954078987,-22710.952035873488,-1.0698245430308643e-08,-22599.601421463834,-149120.68365476397,-149053.8957333008,-149002.65952751203,-30.334478394799298,-148717.23062782869,-8.713629249105779,-148708.5169985778,-14492.24195553235,185561.23738432338,-115.0238755257459,-57.75807494164857,-3.245642364629962,11.991314949609391,-133.40677452542948,-30.36337899488421,10.14791796072997,0.0,97.16378031921575,222.02924172713855,0.0,324.75065674849,-176048.29166651674,-76048.29166650018,-75913.60577542134,24086.394224588315,62684.73858045345,-6.689540798706251,4.3221564445271696e-09,-222710.9520358692,-122710.9520358719,-122710.95203586563,-22710.952035858605,-43536.91467221436,56463.085327788016,156463.08532777443,-14467.875985915634,85532.12401408865,85532.12401408558,185532.1240140844,261320.33529052927,262888.9481100658,262888.94811008475,491987.10016658274,-1004644.9399118102,-512657.8397452631,-99999.99999999975,-99999.99999999949,-100000.0,-100000.0,-99999.99999999949,-100000.00000000036,-100000.0,-100000.00000000026,-99999.99999999981,-100000.00000000013
