time,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
01.01.2023 00:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232803e-05,1.9523533950617288e-05,1.8225170855379197e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 00:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.64962246472663e-05
01.01.2023 00:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.2937748015873e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 00:45,1.5580357142857155e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.870604607583774e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 01:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.8225170855379197e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 01:15,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746016e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 01:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.0485284391534364e-05,2.6496224647266313e-05
01.01.2023 01:45,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.8225170855379174e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
01.01.2023 02:00,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232806e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266316e-05
01.01.2023 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 02:30,1.5580357142857145e-05,1.9715884038800707e-05,1.8609871031746033e-05,1.7022982804232803e-05,1.9523533950617288e-05,1.822517085537919e-05,1.8706046075837742e-05,2.293774801587302e-05,2.048528439153439e-05,2.6496224647266313e-05
