,Strahlenphysik,Lehrstuhl für Bildschirmtechnik,Verfügungsgebäude,Institut für Keramische Bauteile,Institut für Zeitmesstechnik & HSG-IMAT,Hy-Solar,Sportinstitut,Sporthalle,Segal-Haus,Rechenzentrum 1,Rechenzentrum 2,Kältezentrale Süd,Rechenzentrum Baracke,Bioverfahrenstechnik,Pegasus,Industrielle Fertigung und Fabrikbetrieb,Höchstleistungsrechenzentrum ,Demonstrationshaus,Chemiegebäude,Verwaltungsgebäude OGI,Lagerhalle 1,Holzbau,Betonbau,Stahlbau,Großversuchshalle,Erdbau,Brandhalle,Lagerhalle 2,Lüftungszentrale bei PFWR 4G,Simtech,Simtech2,Maschinenlabor,Ingenieurwissenschaften BT/B100,Verwaltungsgebäude HKW,Kältezentrale Nord,Ingenieurwissenschaften BT/A100,Energietechnik,Greenteam,Sporthalle Keltenschanze,Verbrennungsmotoren und KFZ-Wesen,Windkanal,Leichte Fläche,Arena 2036,L1 Aero-Gas Institutsgebäude,L1 Aero-Gas Hallenbau,L1 Aero-Gas Windkanal,Verfahrenstechnik und Dampfkesselwesen 1,L2 Statik und Dynamik Institutsgebäude,L2 Statik und Dynamik Versuchshalle,Raumfahrtzentrum Baden-Württemberg,Luftfahrt 3 Institutsgebäude ,Luftfahrt 3 Hallenbau,Hochhaus MPA,Halle MPA A,Halle MPA C,Halle MPA D,Prüfhalle MPA,Atrium,Strahlwerkzeuge ,Mensa (nur Studentenräume) ,Elektrotechnik 1,Elektrotechnik 2,großer Hörsaal PFWR 53,NWZ I Chemie Hochhaus,NWZ II Physik Hochhaus,Telefonzentrale,Internationales Zentrum ,Wasserbau / VEGAS,110 kV Station,Campus Guest 1,Campus Guest 2,Campus Guest 3,Campus Guest 4,Informatik
0,0.04971541527392255,0.10560903499172992,0.07475620511189171,0.03733239942848801,0.023109895052387402,0.04353822442932691,0.005066626541212823,0.006777626721076306,0.0008315104332292568,0.037386095310178814,0.15918604840599335,0.5476297489377342,0.0003144527515061619,0.26028304306945954,0.009401581897373312,0.04812794027922884,2.707728477845808,0.010548824291161057,0.02824546633282703,0.01272932132032882,0.002783397678928021,0.025841662460998303,0.029080369498595746,0.026161456577357682,0.021543427507110635,0.01315135885623172,0.05492300592873412,0.00419758624856829,0.0008071420757785679,0.009799533366886142,0.028079851952379036,0.17636811849176212,0.06279321577027436,0.2924626001280501,0.239697560468175,0.15606030044423394,0.06845651890548365,0.005259828108043048,0.0029913690380132065,0.14179652631452477,0.04694682313724989,0.0016484177504406978,0.04783344928334453,0.013528931115640087,0.024597759003920604,0.005614914524682914,0.05622714080683855,0.01840698935506444,0.009238068943248532,0.05121245710995053,0.06842138851847143,0.12369684665372752,0.050002674989737136,0.20703218671908846,0.019823054178573725,0.010607234617168263,0.00389074952523031,0.008644048250983286,0.062451221367906797,0.011427555185808638,0.14036434912422935,0.09608484832526874,0.01843475226536772,0.4883741435400703,0.45942916259536526,0.0020871915427643356,0.009566139729520301,0.029096732104147413,0.007586483913756562,0.01873365750899642,0.007340105773820738,0.04034793867303794,0.02613445684006795,0.15225513716087644
1,0.05233671152586211,0.10651440957035008,0.07253312757302664,0.03582541889137359,0.02304107133772069,0.04271300502137795,0.005182750899647239,0.006493194427445225,0.0005908441613641705,0.0323440157149669,0.1292918005961978,0.4966406661792728,0.00032792398604676576,0.24719468949249443,0.008539524052664768,0.04496975436677958,2.600197174346254,0.011811271534351643,0.029206311939129082,0.012232788930058554,0.0034909778690442347,0.026736197383549612,0.025016190396460653,0.02400738919079658,0.01755051002971339,0.01355870357297321,0.044291437640665635,0.004237363343593452,0.0005272020762993942,0.010934378686627074,0.028582928662969364,0.16002073054824822,0.055157716011657136,0.2719355247425521,0.20102220122293024,0.15116848297192725,0.06399685144740393,0.00462331624673797,0.00318706536983772,0.17744180876764384,0.04517091633277654,0.0015692108309597478,0.054110960995695435,0.014767991302975327,0.023013417040282695,0.004904591297744463,0.0557333512391025,0.017446542364387335,0.010822120723883099,0.04873509294101253,0.07783252994350845,0.11637807596152272,0.05070539862657288,0.2021583727676125,0.021707860914516937,0.009264641988690158,0.0034672437428878928,0.007310275463128036,0.07060345134433994,0.010061165890260636,0.16331255595947605,0.07770632010704945,0.016133873746386425,0.4218261768409329,0.576363467444315,0.0022947918507629935,0.010346076607076881,0.036420416316374986,0.007909603295803116,0.017197134207881784,0.008587969936907686,0.03573470053018636,0.026865082903350268,0.14843026581950874
2,0.056599340509076265,0.10620530725269411,0.07827390251880442,0.035662570431516265,0.01957479213934947,0.04923086579152423,0.005870056365090487,0.0066614363053262935,0.0005776807378980687,0.03248004362830591,0.13394048592443947,0.5041813701478184,0.0003617613346338974,0.1916328289221145,0.00917375230981276,0.03455592343749757,2.0813269273983117,0.012804616598922975,0.026468403238377503,0.010005596238338913,0.003419640466584438,0.025356030364141916,0.02868870263634691,0.023768736528469652,0.01728681597307244,0.013683958871223196,0.035739008714227465,0.004253317092634303,0.0005334705503829408,0.010906168401079292,0.03195002343871799,0.17316412030049458,0.06204037131296981,0.24407658751844344,0.2038670157430077,0.15163497346144825,0.055162458613971885,0.004734693807327643,0.0028784378089657774,0.18698477523652185,0.04363932697760547,0.0014217081959996627,0.05210301577999926,0.01341741049901361,0.025801849722967136,0.00550896204964898,0.05037313085520595,0.005734482618322035,0.010718905914766187,0.04094072479756589,0.08084647598131772,0.10097617111756897,0.05735093783858979,0.18314306865464086,0.022617298497419166,0.009428597844074613,0.0034065975859247206,0.007255556249554606,0.06738538301396604,0.010528815642956863,0.19009240746180397,0.07754705378924498,0.015363935787255253,0.44979076209004043,0.5796517244413864,0.0023493093479331137,0.008687969258403084,0.03580966372914032,0.007119333094531481,0.016838782986449852,0.00924353237058354,0.0387647972355436,0.025053179163177543,0.1337049954571101
3,0.05652789114227262,0.11249131081131294,0.08225171090828115,0.03693652206107532,0.019430970626059765,0.048148319045238655,0.005711480062493192,0.0064329012744446055,0.0005588237695222011,0.033039330536460965,0.13469448464113676,0.4427501267580016,0.0003637791931584417,0.19798744722406642,0.00905077128867366,0.03692322835258135,1.7586618263697686,0.013023105676783936,0.02499022164939542,0.010754586770933371,0.0034846355504631926,0.025634768268430207,0.028344914002549855,0.02417979260229344,0.017504329315067707,0.012936360239019083,0.037587321680497526,0.00334181009234327,0.0003194727778485644,0.007177552304515085,0.03372345233301012,0.16814946029248057,0.05461544861910497,0.23630058149112876,0.18370925460912033,0.15269460178472194,0.05474216291001676,0.004555864605884821,0.0030150655144938468,0.19233864520123942,0.04544886664567033,0.0014392729784520352,0.054647778818247394,0.011868077571418608,0.023965049574753795,0.0055770547879287116,0.04920476086926413,0.006450032987260961,0.010176895962373124,0.04276614400348007,0.08278209135256256,0.10587090814740628,0.06016089995140907,0.16722274780469923,0.022196369293237202,0.008193596199325213,0.003111351416649001,0.007037341743609162,0.0658842835392335,0.009018759606338985,0.17666805301355895,0.07634778994146048,0.016211852968565785,0.4422082000689659,0.6063005512050076,0.0021633167559678614,0.008138747206120282,0.03408565608220798,0.0071052749260861435,0.01716287677353373,0.009403586780329673,0.04032894753659859,0.025939401808446037,0.1709329930750081
4,0.04070557970778743,0.1134316213623141,0.06588171197831748,0.03799043590432522,0.021185401772378952,0.048495298866561454,0.004497016714107257,0.006044432271336137,0.0003817277835761105,0.03498508364607045,0.13287716293835164,0.44168082245869106,0.0004000837310581746,0.21226431077390126,0.009015118994411769,0.03477994488635069,2.0408853299632055,0.013743229679435637,0.024009184853970886,0.010935780943613655,0.003713293288576854,0.0243367795324377,0.02731782551515643,0.022990602639003842,0.017899610762510898,0.012007630964536537,0.03159816722192702,0.002101867431966715,0.0003156771525655939,0.00784366419372938,0.03294716675225878,0.19604438897689536,0.056611033750424734,0.2492153410979946,0.20363368114943073,0.13920096100371898,0.04959488113257029,0.004491921318733692,0.003110060023141489,0.19410582338281498,0.03858649636871754,0.001496943652122803,0.06386325891651846,0.011719867708470054,0.027215244894020097,0.0059918136890282775,0.054363142863726,0.004369665137572772,0.010956978831572215,0.04090935764472661,0.07103836434250799,0.0928417026699789,0.062155003335647156,0.18390784016058206,0.01891449825507422,0.006966578004301238,0.0032491113752312743,0.0068910799894589874,0.07370880737506078,0.00951682763354981,0.17101832712539786,0.07133255487999504,0.017261466209061493,0.35811415531188334,0.5800004581306893,0.00247771554252051,0.007945086261784896,0.028886584049673515,0.006572526959987357,0.014308676151349748,0.009358276337639228,0.044635375174818276,0.026669514622857726,0.15441479664404947
5,0.04490674928132957,0.11666560655319944,0.06436526000477175,0.03744243280686231,0.02213832030740218,0.04618141701406413,0.004479310313941182,0.005367141926654044,0.0004272942039044158,0.03394185776852479,0.136081379913078,0.4691210218644817,0.00039864204332133756,0.23761580861064727,0.008211517102620185,0.039510315501243905,1.9602996049682446,0.014699481682346563,0.024800274681303695,0.010998954818210754,0.003725152636917632,0.021646018217609867,0.02166611345642313,0.02426464761529406,0.016441942146500854,0.010142182860549777,0.0335785739675554,0.0022752047381878592,0.0003176002765552621,0.008106819939446827,0.032150836372967284,0.20558448141652802,0.03655834272203401,0.2710378281030432,0.1565757460150872,0.15640919053259159,0.052731749941670396,0.004312774444583227,0.0035415848847371455,0.1998146501282563,0.04572442449978249,0.0014338568876337715,0.06345168890097341,0.013348945129657008,0.027433432620421618,0.004139339689495728,0.05675931855869488,0.00441358659053722,0.010746297767585676,0.04158431480282722,0.06191152878394127,0.0838455920252351,0.06010822570928105,0.1558538998397033,0.02198460208423059,0.0056867714109975825,0.0032484813072913496,0.006921213991709378,0.07380898549124164,0.009147267204761025,0.1737534225406328,0.0692120183207618,0.01750411711581317,0.6190439024138136,0.5757510563995021,0.0024310426860523053,0.007427642017997726,0.02719555301568128,0.007479920011068752,0.017202076873834914,0.009695084414271438,0.03214269669348773,0.025986788131747967,0.1627160856840198
6,0.04655487684439013,0.11426467782441081,0.06358582574067816,0.03469181304572179,0.022166471693868,0.04177816247437597,0.004519791969661282,0.00783685811660811,0.0003623925158054018,0.03303400591095262,0.1302183060373106,0.4597843162204621,0.00042058699356086084,0.2266651430080751,0.008982653049889074,0.040456888830939876,2.230992744235281,0.014556386445015956,0.02517283975060664,0.011411134398324358,0.00343013532511134,0.019844288371610053,0.021366711907656773,0.024471688313355663,0.016501953158056512,0.010239227071840369,0.0349014662421155,0.0022054683394088716,0.00024961101087467346,0.007902301712075748,0.03191473925147076,0.17355648117215514,0.03722664348315734,0.2345234169755863,0.15798798650978715,0.1781686631636311,0.04991775540100033,0.004852709985428503,0.0034221567664746936,0.2167928383621775,0.051865361809220245,0.0014550943829716612,0.06297937034548798,0.01511116979355498,0.023248663488611057,0.003253929655350126,0.05281189420328295,0.003255857161055128,0.013359738629479983,0.042675194702885125,0.057643354606650904,0.0829376392755117,0.060390134686513414,0.1713132939793302,0.0213943460315545,0.005847126474267548,0.0033036048502550334,0.007188895361624671,0.07219544599363543,0.009173141473950432,0.11939330100051765,0.06997413431858293,0.018253937349525535,0.5935542527247479,0.5837781198133858,0.0025573603588842195,0.006868686049101141,0.02806291712873517,0.007499748296323328,0.017122508631078486,0.009482570558588775,0.034551872995592744,0.025143811940938555,0.15371567872548322
7,0.04702835969290538,0.10897317801846997,0.06477081458623239,0.035691860539608836,0.022346949473072808,0.039398797495664654,0.004388117912177915,0.007804709400926311,0.0003635683010292584,0.034416727772902785,0.1303485608987682,0.4544456584486853,0.00044171001818552134,0.23484524779214563,0.008892796577895616,0.044089277846119476,2.1605997315502794,0.014136432541504526,0.03412628304973842,0.010966390134880953,0.003956478557481806,0.013913051599383337,0.021205082646814314,0.025474205839570628,0.016392221875945776,0.0088451788567384,0.0338758181670115,0.0021058101461449417,0.00023612084311880446,0.007927264788982369,0.030862106281444753,0.14879477885621678,0.03811284004353468,0.23713441650434244,0.14424991849619362,0.18508597359720874,0.053328949684107084,0.004257428019388398,0.0037010919168212514,0.1889293207095238,0.05012671836746609,0.0014243073742006738,0.061042798665610506,0.01631687940502341,0.023009163955412398,0.004014268492992479,0.05642634557801403,0.005175295666721401,0.0132952167326285,0.04484542349197211,0.056232794818910324,0.0928034787195131,0.06196745568327538,0.17030674394085293,0.022531164685244895,0.00622616639608017,0.0031173890680966615,0.00749006944850464,0.07360095944361122,0.010669927822345085,0.11234816494034383,0.06830010164675135,0.0174518113956907,0.6153793586273637,0.568093647877199,0.002580987204147988,0.006528478849357652,0.030139993586842453,0.0051403357949910775,0.01784020807524407,0.010056212045197455,0.03256023302503116,0.029124505810398257,0.16579036363915425
8,0.04819059214050121,0.08804409757944794,0.06395724753143765,0.041338823340218704,0.023002041105268527,0.036497934463685,0.005034907222486908,0.007924474991962246,0.0004412893849318214,0.029781750890856922,0.1280303128008161,0.46572923783459375,0.00043690899900820576,0.2407211234990186,0.008772598353558087,0.04112041506708257,2.3269151507578263,0.014022298676391768,0.03548343816729781,0.010871683227297587,0.003832940431629824,0.01439599814932505,0.021071911971014712,0.02241062149959688,0.01662610615096266,0.00874812518418674,0.03467599916212285,0.0020734765383366807,0.0002791033970423464,0.008798316200482856,0.029632997325614193,0.14865755228967953,0.03981723005858624,0.23678887031960144,0.1445865143031469,0.1856866748806775,0.049865929597107374,0.0038778489605756036,0.0038214834136588924,0.19041568538705325,0.06209847039669395,0.001515172900640276,0.05818896623156826,0.01635465065411161,0.02407373752607358,0.00435340662524832,0.0575721804275931,0.003996486528026515,0.015066024027420428,0.054171451942669056,0.053343168082603906,0.09278554906174372,0.06159729417302278,0.15900987191139188,0.026370653509024095,0.006610152432347502,0.003579350685810964,0.00801231718535991,0.0743055593266075,0.01084952384745389,0.13010977333737123,0.07148811671298752,0.022484005189654335,0.5941015885330864,0.5267420976314795,0.0026690421250243437,0.004646998703677383,0.030291061092323154,0.005018534206850687,0.019715378359556293,0.01009081516493318,0.03175536361014115,0.030031290552731144,0.15987292515969823
9,0.03272149632402762,0.0851472884032465,0.06033278186072119,0.03934095669006532,0.016724367285796477,0.036718597878787396,0.004813072120464403,0.008163719978580876,0.00042970867976130383,0.03206840759421677,0.14170001345979755,0.43895202821128804,0.0004318846909240283,0.22465975511325184,0.00883957920409753,0.03959308072194558,2.342146948462653,0.013830441474102322,0.034695533057676066,0.011369635678025476,0.0038050025264269906,0.014602165067654316,0.019432636185716175,0.022929871115537796,0.01799241909856344,0.009440926889874815,0.0344503057826274,0.0019197055270683322,0.0002772591190364239,0.00893073522710905,0.02844785997426708,0.16060231147517967,0.037317828037168516,0.23720670873317182,0.13268766997658107,0.1822410864895243,0.04715885249816057,0.003932151818322949,0.0037273923507207263,0.1835259688858856,0.07350364528675274,0.0014386121680247915,0.058906556832643876,0.01581205230851479,0.022898301543079286,0.004242656789186359,0.053852547433003405,0.003997590421322767,0.01466236347968734,0.05211492796211843,0.047480825722698385,0.09176596377779246,0.0641198555698236,0.14245345616986338,0.02598691685946303,0.006814784669945691,0.0031079513134536197,0.007800113199200325,0.06404913277225646,0.01117987916570768,0.12463257205601348,0.06912575850024874,0.022487550060487773,0.6019740000630779,0.5456491528767216,0.0026804400549512645,0.004703945399551297,0.02837213687490862,0.004715663019304684,0.020648142884815427,0.010405638319526102,0.03415155399624638,0.027936443668815987,0.16029947689508123
