timestamp,battery_soc,pv_power,demand,batt_power,hub_net_power
2023-04-01 00:00:00,0.47890295358649787,-9.471106150793652,8565.408695727687,-8555.937589576894,-8055.9375895768935
2023-04-01 00:05:00,0.45780590717299574,-9.471106150793652,8476.510386552969,-7967.039280402176,-7967.039280402176
2023-04-01 00:10:00,0.4367088607594936,-9.471106150793652,8387.61207737825,-7878.140971227456,-7878.140971227456
2023-04-01 00:15:00,0.4156118143459915,-9.471106150793652,8298.713768203532,-7789.2426620527385,-7789.2426620527385
2023-04-01 00:20:00,0.39451476793248935,-9.471106150793652,8293.443339094229,-7783.972232943435,-7783.972232943435
2023-04-01 00:25:00,0.3734177215189872,-9.471106150793652,8288.172909984924,-7778.70180383413,-7778.70180383413
2023-04-01 00:30:00,0.3523206751054851,-9.471106150793652,8282.90248087562,-7773.431374724827,-7773.431374724827
2023-04-01 00:35:00,0.33122362869198296,-9.471106150793652,8221.270039423829,-7711.798933273036,-7711.798933273036
2023-04-01 00:40:00,0.31012658227848083,-9.471106150793652,8159.637597972036,-7650.166491821243,-7650.166491821243
2023-04-01 00:45:00,0.2890295358649787,-9.471106150793652,8098.005156520245,-7588.5340503694515,-7588.5340503694515
2023-04-01 00:50:00,0.2679324894514766,-9.471106150793652,8072.908852820085,-7563.437746669291,-7563.437746669291
2023-04-01 00:55:00,0.24683544303797447,-9.471106150793652,8047.812549119927,-7538.341442969134,-7538.341442969134
2023-04-01 01:00:00,0.22573839662447237,-9.471106150793652,8022.716245419767,-7513.245139268974,-7513.245139268974
2023-04-01 01:05:00,0.20464135021097027,-9.471106150793652,8030.616282369025,-7521.145176218231,-7521.145176218231
2023-04-01 01:10:00,0.18354430379746817,-9.471106150793652,8038.51631931828,-7529.0452131674865,-7529.0452131674865
2023-04-01 01:15:00,0.18354430379746817,-9.471106150793652,8046.416356267537,0.0,-8036.945250116743
2023-04-01 01:20:00,0.18354430379746817,-9.471106150793652,8112.4769338548695,0.0,-8103.005827704076
2023-04-01 01:25:00,0.18354430379746817,-9.471106150793652,8178.537511442201,0.0,-8169.066405291408
2023-04-01 01:30:00,0.18354430379746817,-9.471106150793652,8244.598089029534,0.0,-8235.12698287874
