,PCC,Load1,Load2,RES1,RES2,ESS1,ESS2
0,1.0,1.0002918336772149,1.0003133113426328,1.000718604909759,1.0004670315675002,1.0006915066950024,1.000513126363956
1,1.0,1.000228055870727,1.0002825739151455,1.000630254990784,1.0004480403550955,1.0005704616572726,1.0004898013794592
2,1.0,1.0002502129668702,1.0002595487479253,1.0006623368566088,1.0004181333871625,1.00060032232152,1.000414719270855
3,1.0,0.9998429039836584,0.9999445579648751,1.0001640411708288,1.0000626965331014,1.0000701009912547,1.0000300421285855
4,1.0,0.9993646190260487,0.9995134807318731,0.999523926644827,0.9995015527958702,0.999255138939878,0.9994849315133143
5,1.0,0.9994083835643622,0.9995049260043462,0.9995836694795455,0.999482985570174,0.9993587937928795,0.9994209134432744
6,1.0,0.999373448659985,0.9995298768808942,0.9995342627553424,0.9995112078187285,0.9992686233417192,0.9995008523801943
7,1.0,0.998040117232804,0.9982179583097878,0.9977985609348383,0.9978865684990162,0.9974466079323536,0.9977551656898925
8,1.0,0.9980600865173994,0.9982348866058788,0.9978174411493897,0.9979037006992162,0.9974676252897674,0.9977712021239269
9,1.0,0.9980796650507368,0.9982535057270228,0.9978399153888319,0.9979225468497416,0.9974846455522343,0.9977901106189248
10,1.0,0.998109887855819,0.998271776720435,0.9978657897790948,0.9979389513338874,0.9975197978675053,0.9978121915554078
11,1.0,1.0002112306918631,1.0002986831921428,1.0006101542060366,1.000505406748589,1.000527690974954,1.0005241851175066
12,1.0,1.0001715299197365,1.0003402750307508,1.000593184341016,1.0005720200721988,1.0005934528470726,1.000667494579419
13,1.0,1.0001886268662976,1.000275588864934,1.000666032467745,1.000499811006381,1.0006493702332857,1.0004859447554544
14,1.0,1.0001688450865582,1.0002648843641602,1.00061399139094,1.000484304047629,1.0005775047028442,1.0005151079149364
15,1.0,1.0001327788757286,1.0002446600873003,1.0005529494293406,1.0004624112133798,1.000536598376818,1.0004939252200848
16,1.0,0.9993825306532872,0.9996119683726189,0.9995851000686219,0.9996981318149899,0.9993636070582949,0.9996812941614737
17,1.0,0.9982046490822927,0.9983994646573774,0.9980644749033166,0.9981444436124827,0.9976942153683219,0.9979990140856747
18,1.0,0.997974767114658,0.998176114204498,0.9977274314134247,0.9978404281230904,0.9973919623620159,0.997722731466288
19,1.0,0.9978537864069852,0.9980935456832152,0.9976135446124543,0.9977618963540735,0.997262371018767,0.9976403320312252
20,1.0,0.9979082287444905,0.998115192003102,0.9976652234180214,0.997781249786617,0.997319972691797,0.9976593753069736
21,1.0,0.9978813236417368,0.9981059153402035,0.9976329092372931,0.9977751164143323,0.9973074887359684,0.9976440846658035
22,1.0,0.9994538701757731,0.999609349197356,0.9996965571729975,0.9996959291227403,0.9994722308580113,0.9996468321141793
23,1.0,1.000068705663209,1.000206454934846,1.0004632291825277,1.0004094450495997,1.0004338700586213,1.0004757833374809
24,1.0,1.0000662363543837,1.0002559441159669,1.0004943803142994,1.000495659214463,1.000454066451339,1.000564627091781
25,1.0,1.0001127471323736,1.000242377036143,1.0005725650994286,1.0004772321198327,1.0005410677274114,1.0004634214419186
26,1.0,1.0000836973695368,1.0002640720568157,1.0004893892195488,1.0004968761814246,1.0004402372438166,1.0005586250113527
27,1.0,1.000116355719,1.0002871257903883,1.0005177049726608,1.0005074618065668,1.0005079047140752,1.0005626257445055
28,1.0,1.0001070988622263,1.0002638501856664,1.0005460931460317,1.0005072656050962,1.0005309754330098,1.0005007426278303
29,1.0,0.999094734840937,0.999350815205683,0.9992402803923027,0.9993821944572499,0.9989579457042184,0.9993224275496911
30,1.0,0.9987066813250036,0.9989459978159734,0.9987598283720716,0.998840741950053,0.9984958086603679,0.9987830819382196
31,1.0,0.997732924302292,0.9980311599545271,0.997487367585335,0.9976957700535682,0.9971506246082568,0.9975792538918743
32,1.0,0.9977127248035769,0.9980216093208188,0.9974743213434344,0.9976931825850035,0.9971189769303154,0.9975607927658936
33,1.0,0.9977252607101091,0.9980268049471147,0.9974852973763877,0.9976965211355359,0.9971346589696604,0.9975653219372305
34,1.0,0.9978015197884621,0.9980905861701491,0.9975581599328439,0.9977601279304007,0.997212947178044,0.9976301229014907
35,1.0,1.0001030532026125,1.000243416263622,1.0005761680173149,1.0004686918903132,1.000542423331588,1.0004495192277751
36,1.0,1.0001376459953628,1.0002626812040887,1.0006186992434034,1.0004632884335651,1.0006175240432553,1.000479635570236
37,1.0,1.0001574418529022,1.0003218762415362,1.000653475606588,1.0005145494663006,1.0006604765384766,1.000622529903444
38,1.0,1.0000121244775964,1.0004191136372071,1.0003830980977695,1.0007853103274995,1.0004367990296974,1.0008691744404
39,1.0,1.0000657129314225,1.0003073560338014,1.000540453928873,1.0005399024825168,1.0005691642972239,1.0006484739430779
40,1.0,0.9978529699746153,0.9982100870575207,0.9976781758265209,0.9979254247360598,0.9974113316175066,0.9978379167137849
41,1.0,0.9977444142126981,0.998065020119027,0.9975024663058464,0.9977260236434699,0.9971626632769086,0.9976117182454154
42,1.0,0.997808073293125,0.9981088360739713,0.9975819079790208,0.9977684321277542,0.9971982783296587,0.9976571345490628
43,1.0,0.9979224141830056,0.9981836962366399,0.9976904552025582,0.9978530502917566,0.9973022672451669,0.9977293550879893
44,1.0,1.0003798929782464,1.0005440207593286,1.0008739897020962,1.0010108918797112,1.001014775533006,1.0010488875213623
45,1.0,0.9981108970721908,0.9982982584005096,0.9978820297366117,0.9979559393738843,0.9974949460489383,0.9978429305716358
46,1.0,0.9980992211161854,0.9982948876412292,0.9978648643154309,0.9979604783314225,0.997487298732816,0.9978372861472934
47,1.0,1.0001743066745554,1.0003039971797665,1.0006731330657626,1.0007248456804523,1.0008342998077255,1.0007731435032898
48,1.0,1.0001981463404561,1.0002876844154245,1.00065983326851,1.0005528723219264,1.000371394949404,1.0003810276919742
49,1.0,1.0001956327654629,1.0002166570991873,1.0006683622512413,1.0003994115762171,1.0004465710405932,1.0002849726439111
50,1.0,1.0002500809298371,1.0002831965281087,1.000700361515034,1.0004437673145918,1.0004840846804597,1.0004075224712292
51,1.0,1.000168882563462,1.00022026480683,1.0006538391327675,1.0004036115840775,1.0002462828739058,1.0003206254045967
52,1.0,0.9982444023480748,0.9984067971591033,0.9979972526939047,0.9980813300506869,0.9976948969966614,0.9979612686629284
53,1.0,0.9986690254477735,0.9989407902603684,0.9988823078385992,0.9993026688699629,0.9988915783523884,0.9992552561993748
54,1.0,0.9987058467162093,0.9988930113148742,0.9991029366790217,0.9992348468352575,0.9988873226994189,0.9991099632325996
55,1.0,0.9987098014320055,0.998878138102965,0.9990980516210015,0.999209597627157,0.9988996087053728,0.9990884788856611
56,1.0,0.9987643364211634,0.9987408781049628,0.9993203845561477,0.9989663057292786,0.9991073472561414,0.9987588427641504
57,1.0,0.9987236359455666,0.9988530135059535,0.9991711598524884,0.9991505733310792,0.9989623073711512,0.9990411245748233
58,1.0,0.9986884089061078,0.9988640175171903,0.9990782478964745,0.999208008838686,0.9989306254476311,0.999077620768247
59,1.0,1.0001187771178992,1.0001745092538437,1.0005271600135943,1.0003853670202525,1.0003923990330221,1.0002972862066848
60,1.0,1.0000479075713045,1.000257325938569,1.0003475213458075,1.000520075456968,1.0001942315803447,1.0005174699562853
61,1.0,1.0000839958920453,1.0000967288738152,1.000514927263405,1.0002070498765874,1.0002401051883998,1.000225145095545
62,1.0,1.0000819759234714,1.0001767642964356,1.0003764942537974,1.0003384873830299,1.0002643236506876,1.000367318003193
63,1.0,0.9982138527349427,0.9983521927460179,0.9979723008868286,0.9980169825850178,0.99760139627356,0.9979048942968821
64,1.0,1.0003333251695479,1.0004624471311316,1.0006985053086888,1.0007295652816195,1.0009441929267127,1.0008359351343665
65,1.0,0.9979612313288151,0.9981590753338612,0.9977095747473258,0.9978184228058097,0.9973809174388532,0.9977025289908293
66,1.0,1.0003094124524923,1.0005197084248907,1.000663538362629,1.000829176170154,1.0007791818930347,1.0009722193877761
67,1.0,0.9979785719018255,0.9981293365093385,0.9977312729267662,0.9977994290105067,0.9973829932788472,0.9976660695357854
68,1.0,0.9979955120878293,0.9981441264408012,0.9977615322273201,0.9978066143906603,0.9973822190003381,0.9976855218927291
69,1.0,0.9979759989547871,0.9981441384621895,0.9977252619684818,0.9978057176698341,0.997387190254286,0.997688046478297
70,1.0,0.9979856136710236,0.9981409148861212,0.9977506129228398,0.9978166988564918,0.997373479070977,0.9976703761531636
71,1.0,1.0003502820536696,1.0004435162253604,1.0006893456350379,1.0007447483469234,1.0009629563876612,1.0008211261429034
72,1.0,1.0004365145614098,1.0003812731923325,1.0009385704454004,1.000586983056971,1.00101907758573,1.0006584540626895
73,1.0,1.0004285975013358,1.0003988239269126,1.0009242337673367,1.000606943953046,1.0010079746971954,1.000703135733086
74,1.0,1.0003368378992628,1.0004536506316022,1.000742564170905,1.0007467669841335,1.000867300137353,1.0008385589836193
75,1.0,0.9978976400422094,0.998080848890245,0.9976405421021762,0.9977388674081555,0.9973248890431082,0.997630543004444
76,1.0,1.0003723725325806,1.0004707163884219,1.0007732246060437,1.0007520824016574,1.0010072660240747,1.0008555823754675
77,1.0,0.9978857146058915,0.9980773161155169,0.9976240644188307,0.9977359579473973,0.9973286862207436,0.9976302480254293
78,1.0,1.0005597926309384,1.0005296999539572,1.0011064064525201,1.0007145091166616,1.001213285351348,1.0008726998354842
79,1.0,0.9981296974871546,0.998382260906095,0.9979529985436646,0.9981173997738951,0.9976429616508445,0.9980207278412678
80,1.0,0.9978380646773591,0.9980824518973017,0.9976069375622542,0.9977524639168701,0.9972289093358289,0.9976294021051446
81,1.0,0.9977747168912418,0.9980677342132865,0.9975218625605814,0.9977280436765725,0.9972086828870292,0.9976232586468975
82,1.0,1.0004930812857158,1.0005870960174272,1.0009337200502653,1.0008499469827685,1.001147918503673,1.000956507847388
83,1.0,0.9979409085378772,0.9981695496300459,0.9976936591963665,0.9978364420879816,0.9973443770462409,0.9977188392751529
84,1.0,0.9980154818248603,0.9982058581624871,0.9977625973030865,0.9978802902079107,0.9974421264011716,0.9977349067400727
85,1.0,1.000538097513142,1.0006017386032668,1.0010124474693198,1.00084184772613,1.0011363900315606,1.000964789212518
86,1.0,0.9980351086268194,0.9982346001513355,0.9978053639009541,0.9978984908214936,0.9974154165069096,0.9977834926698683
87,1.0,0.9980041784177578,0.9982125888684599,0.997757344565251,0.9978680808176056,0.9974247453166178,0.9977637431699656
88,1.0,0.9991581370954237,0.9993814466005398,0.999286190188233,0.99941291331423,0.999090989994526,0.9993274944514308
89,1.0,0.9991976284963634,0.9993351983654082,0.999396494379093,0.9992805758181372,0.9991746378527473,0.9992483919347523
90,1.0,1.000268110107339,1.0003048013733242,1.0007032071142064,1.0004906661588286,1.0006762685757993,1.000487989221214
91,1.0,1.0002461510901586,1.0003351128260753,1.000650218488775,1.0005226320410474,1.0006017280487363,1.0005688935222348
92,1.0,1.000288365314306,1.0003527153531717,1.000741786310355,1.0005546306024846,1.000729107203716,1.0005798016740328
93,1.0,1.000305498694077,1.0003809913100863,1.0007674819866745,1.000611115664299,1.0007367351224241,1.000610510514639
94,1.0,0.9980503738236141,0.998241284713511,0.9978191241600363,0.9979094891049104,0.9974433062673043,0.9977838695475517
95,1.0,0.9980249687465842,0.9982061418370893,0.997820729756995,0.9978658114384288,0.9974091187217203,0.9977220610495705
