,PCC,Load1,Load2,RES1,RES2,ESS1,ESS2
0,0.0,0.017130267875903486,0.03210752531426172,0.020143570516441504,0.04862581667836124,0.04369206605148805,0.052651234661440276
1,0.0,0.012313667888100423,0.028566814338420975,0.013927521234525666,0.04497563210932267,0.03703174099586856,0.04939518833723303
2,0.0,0.010474010057263242,0.030263707026325633,0.009074329027984053,0.04771269657443412,0.030325669132330032,0.0548769627239687
3,0.0,-0.027251154700334002,-0.0026466513711091376,-0.03231913717032408,0.010946368598092301,-0.016431023342186723,0.01815688022334163
4,0.0,-0.06814193430717484,-0.05385181730161831,-0.07715767556726816,-0.05319238217907229,-0.06218798700936616,-0.052250035322613145
5,0.0,-0.06739147224940102,-0.05070896728543222,-0.0773086844432228,-0.04951956563205266,-0.06476926104007166,-0.04599594988696154
6,0.0,-0.06724025576511891,-0.05202219688396905,-0.07634097650795749,-0.050978703820297476,-0.06154548520105427,-0.05039374528413478
7,0.0,-0.1977067501070839,-0.18517682291797125,-0.22024586921098918,-0.20739624478909446,-0.23001528093492143,-0.21072047174802785
8,0.0,-0.19581290184709593,-0.18344523538106453,-0.2182891239438619,-0.2056759103216326,-0.22817689514047051,-0.2089374924966054
9,0.0,-0.19443425121990793,-0.18208411237048677,-0.21707342121917444,-0.20432635740110322,-0.22665633665356547,-0.2075911802307954
10,0.0,-0.19202968376842738,-0.18050006078734362,-0.21442062676060844,-0.20263166778033584,-0.22451940271712909,-0.20621967271042874
11,0.0,0.010242138849425559,0.030553279869923837,0.009878568357158663,0.04872385494085933,0.03249398049883872,0.0555348426717462
12,0.0,0.010382267183278079,0.030635838008665123,0.015766302645287587,0.05092451071777423,0.03947778769440869,0.05429860420431141
13,0.0,0.007187019014875326,0.02959254247600528,0.009912516736071787,0.04805801084297754,0.03497910512870126,0.057068998175549904
14,0.0,0.006682661284696025,0.02738833846622096,0.009077176240371436,0.04661523386471807,0.033493963218548944,0.05320939915249677
15,0.0,0.006331629623869989,0.022919660255239567,0.011371454795092448,0.039162987887666034,0.03565930075561846,0.044906437827374614
16,0.0,-0.06217692907836743,-0.045740467669471326,-0.06698604686076184,-0.042348045560519264,-0.049256138922093816,-0.03920260764231612
17,0.0,-0.18091968420868093,-0.16561324160441052,-0.20194638937115134,-0.1839752208193339,-0.20480645904375372,-0.18433590766912417
