,ETI-IST,AW-NWZ 1,AW-NWZ 2,NWZ-MEN,NWZ-WW,ETI-IW,IW-HdS,HdS-ARENA,ARENA-HKW,MENSA-MPA,MPA-HKW,NWZ-STP,STP-DLR,DLR-Muff_HKW-DLR,DLR-Muff_DLR-ATRIUM,HdM-RZ,RZ-Birkhof,RZ-KZS,AW-IFB,IFB-VFG,VFG-Bio,Bio-VISUS,Bio-MIKRO,MIKRO-SPZ,MIKRO-KZS,KZS-IFF,IFKB-AW_Erw.,HKW-L3 RN,HKW-AERO,AERO-Statik,Statik-L3 RN,HKW-KZN,KZN-ENTE,KZN-ILA1 RN,ILA1 RN-ILA2 RN,ILA1 RN-IVK RN,IVK RN-OGI,OGI-Polizei,OGI-HKW,AW-Muff_AW-INFO,Muff_AW-INFO-INFO,INFO-Muff_INFO-ETI,Muff_INFO-ETI-ETI,Muff_HKW-DLR-HKW,Muff_DLR-ATRIUM-ATRIUM,DLR-KLW,AW-Muff_AW-ZHI,Muff_AW-ZHI-ZHI,ZHI-Muff_ZHI-HdM,Muff_ZHI-HdM-HdM,AW_Erw-Muff_AW-KZS1,Muff_AW-KZS1-Muff_AW-KZS2,Muff_AW-KZS2-KZS,IFF-Muff_IFF-ZAQ,Muff_IFF-ZAQ-ZAQ,ZAQ-Muff_ZAQ-IFKB,Muff_ZAQ-IFKB-IFKB,AW-HLRS1,HLRS1-HLRS2,HLRS2-AW_Erw.,Aw_Erw-AW_Erw2,ES4-AW_Erw2,AW-AW_Erw2,Batt1,Batt2,Batt3,Batt4,Batt5,Batt6,Batt7,Batt8,Batt9,Batt10
0,3.125200067045279e-10,-0.00102586238978985,-0.00102586238978985,0.0004317496237534296,9.556027835185952e-10,0.01247096368047051,0.012467619093316446,0.012462617472268627,0.012456334572371903,0.00042438840014681633,0.00041478213330278487,-0.0024899841288583634,-0.0024932076068732377,-0.0024984737167539233,3.816390238044473e-09,0.0034374067708247856,3.9011370186919735e-09,0.0034373113638472555,-0.0011339786435898879,-0.001134605013245121,-0.0011350690993523743,4.481987776022562e-09,-0.0011352143888192778,1.329727606499667e-09,-0.0011352465717117941,0.000691433457636128,0.0006907462686879311,1.7955808435661117e-08,3.279312726150822e-08,8.47262607037276e-09,2.675251467233809e-09,0.009902075530275648,1.8383622773063565e-09,0.009886182415769055,0.010313694550836264,-0.0004389379073088874,-0.0004405359725328516,2.8484392330318237e-10,-0.0004419639346672061,0.012478307818244093,0.012476889239902488,0.012476468307981266,0.012474569523275346,-0.0025058684826368403,1.4802052185785948e-10,3.2082404195471675e-07,-0.00699735872263435,-0.0069977154483981015,-0.006998027691702253,0.0034375289862388757,-0.0016091487096386102,-0.0016097502242953593,-0.0016104733555434556,0.0006913718989954926,0.0006912931270780784,0.0006912519566275078,0.0006911966800194126,-0.000138406073552719,-0.0001384695540606424,-0.00013851440643277205,0.0021608723902960206,1.1753343749665524e-11,0.0021607970567115243,1.6056427373166115e-11,5.53021123021197e-13,1.508963067902708e-11,-1.67649604755015e-11,4.179142759297323e-11,-0.010435765206887184,1.2651514230483825e-11,6.43740239106891e-11,2.8276907940213602e-11,3.411765835008818e-11
1,3.1247199117666006e-10,-0.005214687834272638,-0.005214687834272638,-0.001761814122788904,9.543071741638152e-10,0.01041289902804112,0.010409560358858129,0.010404565948756609,0.0103982910207312,-0.0017691644400767577,-0.0017787579840458226,-0.008674081686741896,-0.00867733046989853,0.0014986555445469178,-0.010181276794805513,-0.0001917599916409579,3.901231023997367e-09,-0.0001918527662713396,-0.00025435111922726683,-0.00025497735128936,-0.00025544116886913154,4.48198526564363e-09,-0.0002555861249849415,1.328393204837803e-09,-0.0002556180811425486,-0.0003279339785981285,-0.00032862076813595605,1.7955978928932e-08,3.2793837468243215e-08,8.47396453155656e-09,2.6746514403115955e-09,0.009676149124109738,1.8368921778768013e-09,0.009660256258768807,0.010059237929154575,-0.00041040722838914375,-0.00041200527381946136,2.8425451648629625e-10,-0.0004134332107512484,0.01042022399468094,0.010418810899969946,0.0104183912542168,0.010416497175915806,0.0014912529492951652,1.5042228252458248e-10,3.2082532954712314e-07,-0.0001907804050069456,-0.0001911314942637446,-0.0001914366009492524,-0.0001916400053219134,0.00012101759883543966,0.00012041640278535393,0.00011969379495517018,-0.000327995417275533,-0.00032807410630632326,-0.0003281152446335871,-0.0003281704997456623,-0.00011545420979832607,-0.00011551770067243003,-0.00011556254299830908,-0.0005657089257284733,-4.2996641465969295e-11,-0.0005657842039652947,1.0073749793271955e-11,1.250223324005355e-11,-1.2851970923896266e-11,-1.3705761854489096e-11,-0.010181292777960819,3.503345818173546e-11,-1.0095682117576562e-12,4.0875589084376066e-11,-2.778939541426498e-11,1.931136184098285e-11
2,3.169282682594143e-10,-0.00518240400436012,-0.00518240400436012,-0.0018593324358346557,9.529365742115107e-10,0.010348331148231523,0.010344992279054468,0.010339997579866846,0.01033372229145297,-0.0018666830493552023,-0.001876276928762567,-0.008511995002943598,-0.008515242367345341,0.001110696572889397,-0.00963122729764841,-0.00019175994236251528,3.900565731483882e-09,-0.00019185271410939234,-0.00025435106507553696,-0.00025497729752048745,-0.0002554411149358241,4.481055260523902e-09,-0.00025558607176355726,1.3275464159683922e-09,-0.00025561802694946793,-0.0003279339073636782,-0.00032862069950158844,1.7957185988625704e-08,3.279524955736753e-08,8.472928974818458e-09,2.6773841501445322e-09,0.009187781337353875,1.8395525670551057e-09,0.0091718888276251,0.009509193434868977,-0.0003487299568476405,-0.00035032797119390594,2.8514768617546053e-10,-0.00035175587845500734,0.010355656521562038,0.01035424336195213,0.010353823679962335,0.010351929504321185,0.0011032950156758315,1.466521465628274e-10,3.2082538498277874e-07,-0.00019078038406246834,-0.0001911314670891469,-0.00019143657030114378,-0.00019163995205835242,0.00012101758034707028,0.00012041637346964535,0.00011969376847123915,-0.0003279953431818912,-0.0003280740167233534,-0.0003281151689875297,-0.00032817043153739677,-0.00011545418498168066,-0.00011551767990158941,-0.00011556251732399822,-0.0005657088177834398,-4.419143560248858e-11,-0.000565784110797523,1.3245957491568881e-11,6.022039472087589e-11,2.4725127974289897e-12,1.76826464743316e-11,-0.00963124199509825,-2.2442075238283494e-11,-2.9356314929782307e-11,4.163703051917173e-11,-2.7026251497140405e-11,2.736288145623041e-11
3,3.1678806448431814e-10,-0.005170292608174951,-0.005170292608174951,-0.0018959168188103686,9.54132095639051e-10,0.010324108247749555,0.01032076930550583,0.010315774494806775,0.01030949907105974,-0.0019032675473950641,-0.0019128615523984305,-0.008451187558303583,-0.008454434395207412,0.0009651522688874598,-0.00942487413728184,-0.00019175993615482673,3.90048988313171e-09,-0.00019185271004501747,-0.00025435104578263917,-0.0002549772780239185,-0.00025544109556398665,4.481640115725267e-09,-0.0002555860523248062,1.3291497413584866e-09,-0.0002556180079390195,-0.0003279338829091572,-0.00032862066298680213,1.7956208926097728e-08,3.279503448329446e-08,8.472876265266181e-09,2.674760788347486e-09,0.009004568213679636,1.8372057421984938e-09,0.008988675818042517,0.009302842029033868,-0.000325591479176411,-0.00032718948398223566,2.8530310565805445e-10,-0.00032861738064011254,0.010331433788805298,0.010330020595836325,0.010329600912375182,0.010327706682407933,0.0009577510638894028,1.5039326583392986e-10,3.208253629030975e-07,-0.00019078034472418733,-0.0001911314479373611,-0.00019143655101174384,-0.00019163995334341825,0.00012101754731365983,0.00012041635582143119,0.00011969376972543543,-0.000327995321947115,-0.00032807400631463006,-0.0003281151535131995,-0.00032817039728015834,-0.00011545417539120751,-0.00011551766982570753,-0.00011556250915501504,-0.0005657087482300701,-1.9135427960711992e-11,-0.0005657840540604614,-1.0347829852213556e-12,-1.19769657486319e-11,1.844847445741746e-12,-2.8783353992324398e-11,-0.009424888388770543,-2.306995375732715e-11,1.368884111322955e-11,-3.906782662190469e-11,1.4739034034627529e-12,-2.423065012431796e-11
4,3.150169775870505e-10,-0.0022383693916481913,-0.0022383693916481913,-0.0009184132917831704,9.546276906531814e-10,0.013444361528794075,0.013441007488848187,0.013435993459174938,0.013429696167713362,-0.000925768809815494,-0.0009353684438324422,-0.003564830033141995,-0.0035680515284101048,-0.00357331514897155,3.826604428717406e-09,-0.00019176039056332877,3.900573818998876e-09,-0.0001918531648381085,-0.00025435164686024857,-0.000254977881717165,-0.0002554416999494267,4.4824635406250655e-09,-0.00025558665695824077,1.329162390095863e-09,-0.0002556186124530285,-0.00032793466686433187,-0.00032862142230859274,1.795762618619546e-08,3.279494286301037e-08,8.4723618521074e-09,2.679393462162064e-09,0.008613220950321118,1.8369593340151135e-09,0.008597328772187132,0.008862069866400854,-0.00027616619374014936,-0.0002777641816647898,2.852966042213209e-10,-0.0002791920582039454,0.004467599907649689,0.004466195097979192,0.004465777319289978,0.013447978869461644,-0.003580706429115868,1.5165083498342055e-10,3.2082406823219806e-07,-0.00019078080165164642,-0.00019113189659597662,-0.00019143700466963586,-0.0001916403997821381,0.00012101785336507101,0.00012041664352003162,0.00011969404030337283,-0.00032799610606289685,-0.0003280747905972462,-0.00032811593581186834,-0.00032817115995228323,-0.00011545444776740579,-0.00011551794399452855,-0.00011556278200132699,-0.0005657100462907118,1.2111728838510054e-11,-0.0005657854194874646,-6.7378746793339936e-12,-0.008984104797609492,-2.258657311687181e-12,-2.3770509560002514e-11,1.298227113500913e-11,-2.7167616890796985e-11,-1.2253547465401281e-11,-2.8614058636316133e-11,1.9212665771040127e-11,1.533898629599398e-11
5,3.176324975204871e-10,-0.0020261547976092344,-0.0020261547976092344,-0.0006821745824047835,9.545789608710852e-10,0.01314921058027475,0.013145856976846435,0.013140843405470164,0.013134546561604229,-0.0006895292187838329,-0.0006991278467147111,-0.0033766384058991827,-0.003379859189583035,-0.003385122153549279,3.817306852619618e-09,-0.0001917604628420529,3.900507056257835e-09,-0.00019185323853748674,-0.00025435174946844845,-0.0002549779833201191,-0.000255441802426646,4.482249904679922e-09,-0.0002555867588946566,1.3289426782832364e-09,-0.0002556187179439713,-0.0003279347785339089,-0.00032862158170630755,1.7955996401291008e-08,3.279409008527036e-08,8.474095842060018e-09,2.674573446087422e-09,0.008728009762734676,1.8389226384443986e-09,0.008712117519749166,0.008991355391573308,-0.0002906630485047784,-0.00029226104204137465,2.865835309998249e-10,-0.00029368892205115137,0.0040431711735715945,0.01315515487462511,0.013154732371331825,0.01315282727885905,-0.0033925127877636975,1.5178028483281087e-10,3.2082397888377365e-07,-0.0001907808893721921,-0.0001911319777494268,-0.000191437085376932,-0.00019164046919659466,0.00012101786743543118,0.00012041668631448276,0.00011969410059621657,-0.0003279962182291292,-0.00032807491466904263,-0.0003281160548321482,-0.0003281713152928133,-0.00011545449430355349,-0.00011551798948224916,-0.00011556282773008447,-0.0005657103498601234,-2.7720069054770814e-12,-0.000565785652290906,-0.009113391028368155,-5.801255854402415e-11,5.5023901377695325e-12,3.166030887140582e-11,2.419399703478185e-11,4.610944093683018e-11,-1.1781646486680023e-11,-1.3568785071950665e-11,-3.128643633837802e-11,-2.057987271013509e-11
6,3.167141619117182e-10,-0.0013718788163668725,-0.0013718788163668725,4.648536211423093e-05,9.5379111847894e-10,0.012157519091967158,0.012154174838411927,0.012149173531842996,0.012142890914168801,3.9124917974026444e-05,2.9519547205365828e-05,-0.0027967521456076032,-0.0027999755178490637,-0.0028052413915590755,3.798383432516124e-09,0.0030877372264510507,3.900771001700571e-09,0.0030876423224292845,-0.0010492267321008052,-0.0010498530752379009,-0.0010503171126437691,4.482701130504031e-09,-0.0010504623486548392,1.3272504406632792e-09,-0.0010504945000126133,0.0005932178013945811,0.0005925307106189584,1.7955756174012868e-08,3.27945259211672e-08,8.472733444021298e-09,2.6742524520056217e-09,0.009009348009842537,1.8379897572217643e-09,0.008993455542243742,0.009308223381676053,-0.00032619317049332856,-0.0003277911812738872,2.865835413708692e-10,-0.0003292190846484987,0.012164861740236016,0.012163443702648718,0.012163022864251239,0.012161124421113077,-0.0028126357591346214,1.4657418278276547e-10,3.208239766288258e-07,-0.0063415469133723465,-0.006341902641366906,-0.006342213619087698,0.0030878590221880267,-0.0014424478458545044,-0.0014430492664972816,-0.0014437722536507107,0.0005931562746125173,0.0005930775400161238,0.0005930363734786609,0.000592981093813426,-0.00013619462559345282,-0.00013625810600855534,-0.00013630295910564664,0.0018981674430229548,-7.828137794885355e-12,0.0018980921058234577,3.587522323481185e-11,2.4958783756821727e-12,-4.586988771669213e-11,-1.559557689842099e-11,-1.1266107100511322e-11,-0.009430280271671771,1.3855667893559621e-11,-9.304208432445223e-12,4.443951306805444e-11,4.415461261956943e-11
7,3.1816480242373866e-10,-0.0020076277375154217,-0.0020076277375154217,-0.0006615110604269514,9.546139646180891e-10,0.01385434711277413,0.013850991678448282,0.013845975953737905,0.013839676790720921,-0.0006688666520418866,-0.0006784663869064285,-0.003360248824485835,-0.0033634701222450022,-0.0033687336318384,3.82292327418195e-09,-0.00019176048997574793,3.901837088847356e-09,-0.00019185325877455148,-0.00025435179704515426,-0.00025497803211399327,-0.0002554418510081394,4.481519365786213e-09,-0.0002555868090156168,1.3277732526186465e-09,-0.0002556187632976676,-0.0003279348460429913,-0.0003286216328931379,1.795656018077467e-08,3.2794993365149946e-08,8.473851776137761e-09,2.6755748136372242e-09,0.009386965783472864,1.8404496838947408e-09,0.00937107309330263,0.009733532025545858,-0.00037388440657795305,-0.0003754824372274346,2.8359051755431235e-10,-0.00037691036133878056,0.004006117189682936,0.004004713019765525,0.004004295385187558,0.013857966262440784,-0.0033761249024462864,1.4452974822588361e-10,3.208242506279819e-07,-0.00019078093925294515,-0.00019113203028783642,-0.00019143713638756878,-0.0001916404991492615,0.0001210179184400589,0.00012041670654895783,0.00011969411332797523,-0.00032799628381773103,-0.0003280749513647359,-0.0003281161007463346,-0.0003281713631065751,-0.00011545451644497828,-0.00011551800865262929,-0.00011556284798680416,-0.0005657104529353174,-2.7234816011668527e-12,-0.0005657858009147721,1.2330746961906505e-11,-0.009855575055770695,-5.635324007168074e-11,5.5545968550532406e-11,-1.7040347726792662e-11,2.7935874610713607e-11,1.3721460228216795e-11,-2.6246500120672942e-12,2.335055513513961e-11,4.132816189436572e-11
8,3.149242993928035e-10,-0.0018495545895138125,-0.0018495545895138125,-0.0004855545947104563,9.540036988330543e-10,0.013417178307048822,0.01341382378709587,0.013408809090581602,0.013402511001763227,-0.0004929092428832735,-0.0005025078938210423,-0.003220057834234955,-0.0032232784449914443,-0.0032285412795809935,3.799696178872239e-09,-0.00019176054171657074,3.9000296371722515e-09,-0.00019185331443234894,-0.00025435185702305803,-0.00025497809262437713,-0.00025544191284838415,4.481554988103044e-09,-0.0002555868687613074,1.3284024209622833e-09,-0.000255618824336045,-0.00032793492622179565,-0.00032862173050949325,1.7957540609427295e-08,3.279691866025675e-08,8.473704636921169e-09,2.6749442490814114e-09,0.009279522458928845,1.8386858688407841e-09,0.00926362982289258,0.009612519382233226,-0.00036031498363376074,-0.00036191300926243495,2.83147614778025e-10,-0.0003633409279987787,0.003689971221686298,0.013423124721880285,0.01342270201977101,0.013420796198351686,-0.0032359318297665567,1.4637543262915165e-10,3.2082393064838334e-07,-0.00019078096083459335,-0.00019113206406068379,-0.0001914371731381966,-0.00019164055027105103,0.00012101796508918734,0.00012041675311334367,0.00011969414121063076,-0.00032799636779955524,-0.0003280750418514109,-0.0003281161906914192,-0.0003281714611071487,-0.00011545454494813791,-0.00011551803929747307,-0.00011556287883886872,-0.0005657105531801681,4.3818494267600205e-11,-0.0005657859114368649,-0.009734560563085073,-5.178550140117048e-11,3.266106200253072e-11,-1.8215394176270227e-11,1.595164252497096e-12,-6.8047286864948785e-12,8.301292852157207e-13,-2.2803959450612228e-11,-1.1390200704123781e-11,1.3870778566779231e-11
9,3.1381156128152605e-10,-0.43977353125158425,-0.43977353125158425,-0.5659495427457761,9.527842760879185e-10,-0.52065171768591,-0.5206952860990461,-0.5207501626503294,-0.5208122259266382,-0.5660320443241247,-0.566118829577296,-0.31368229687915905,-0.3137108799410945,-0.5137569193354432,0.20000478894780188,-0.03280299751382634,3.8951107680273055e-09,-0.032803329167312364,0.0664830465157675,0.06648141462049462,0.06647946930402943,4.47490844228796e-09,0.06647793836213109,1.32611775362807e-09,0.06647716731751226,0.02420984061700246,-0.17580062895382126,1.7951511647675617e-08,3.278362469518283e-08,8.471713294187555e-09,2.6749231725766907e-09,-1.5982998016662195,1.8377435156703027e-09,-1.598417891110398,-1.8011796919338137,0.2026804244822369,0.20267031922994144,2.8462410549728514e-10,0.2026587425755922,-0.12055655266036118,-0.320562038049114,-0.32056575192240605,-0.5205965730394793,-0.7138366055427099,1.5018946099647458e-10,3.2057824217182096e-07,0.3672148523423954,0.16720460985459062,0.16720028880602072,-0.032802676562056654,0.39055236183227243,0.19054433330911685,-0.009463535706102921,0.02420964162117782,-0.17579129080364547,-0.1757925667051191,-0.17579401080062845,0.004609988863289267,0.00460991794164993,0.004609870653208887,-0.5617497874824142,3.20839427264103e-11,-0.5617508101445934,0.20000007544813972,0.20000007547686377,0.20000007543001014,0.20000007539797354,0.20000007543581966,0.20000007546613707,0.2000000754251057,0.20000007547404514,0.20000007542998427,1.5191240975310016e-12
