time-step,ESS1,ESS2
01.01.2023 00:00,-0.9086805122433061,-0.338966308955195
01.01.2023 00:15,-0.9872674072526045,-0.39102555342058226
01.01.2023 00:30,-0.8314921434213726,-1.025872472694592
01.01.2023 00:45,-0.6812685477653676,-1.1831952630891052
01.01.2023 01:00,-1.2749107581206864,-0.24985835051561503
01.01.2023 01:15,-0.9793739907961658,-0.859373741918835
01.01.2023 01:30,-1.2529737971226265,-0.18891836556979283
01.01.2023 01:45,-0.43193110319451233,-0.41874604880330707
01.01.2023 02:00,-0.4215349683256199,-0.4321973108504039
01.01.2023 02:15,-0.44800707412259344,-0.43080665782846334
01.01.2023 02:30,-0.40192890792198166,-0.363699594195192
01.01.2023 02:45,-0.9989742370293401,-0.7900685540142388
01.01.2023 03:00,-0.8815087639202268,0.07451735694037633
01.01.2023 03:15,-0.895151833934696,-1.228663222726261
01.01.2023 03:30,-0.9513513084750643,-0.6955206928639539
01.01.2023 03:45,-0.9580483709319028,-0.5242359577318266
01.01.2023 04:00,-1.30295567415118,-0.42072624231648426
01.01.2023 04:15,-0.7645171706612623,-0.8222208191765739
01.01.2023 04:30,-0.34568121719631884,-0.255901369446459
01.01.2023 04:45,-0.42404479209825297,-0.2936020076494367
01.01.2023 05:00,-0.39470049002260776,-0.3041199676800047
01.01.2023 05:15,-0.28785022958934087,-0.41203952773441394
01.01.2023 05:30,-1.203904212457776,-0.9814574754127953
01.01.2023 05:45,-1.03478691503612,-0.03669970272096282
01.01.2023 06:00,-0.9049928814866715,-0.3715410394584997
01.01.2023 06:15,-0.939090648003737,-1.2175073056425
01.01.2023 06:30,-1.0319871537298662,-0.26966030633994365
01.01.2023 06:45,-1.0051849416750889,-0.16139483593917356
01.01.2023 07:00,-0.9195924372436856,-1.056783134288651
01.01.2023 07:15,-1.3842615198031847,-0.6782286407354144
01.01.2023 07:30,-0.7404568970283554,-0.5681329613692477
01.01.2023 07:45,-0.3489261050346897,-0.23963904749394996
01.01.2023 08:00,-0.4446615154573409,-0.42241807317726504
01.01.2023 08:15,-0.4199377639057339,-0.4125072434005214
01.01.2023 08:30,-0.3949414662376329,-0.39793053390466226
01.01.2023 08:45,-0.9622453265283262,-1.2735510074494092
01.01.2023 09:00,-0.8500588307522667,-0.8626608638818006
01.01.2023 09:15,-0.8187743647825757,0.03805481974555197
01.01.2023 09:30,-0.9322676673772239,0.057660448281576356
01.01.2023 09:45,-0.7393194573130047,0.020075600502389525
01.01.2023 10:00,-0.22019591860061521,-0.16655808287481288
01.01.2023 10:15,-0.3596161311514548,-0.2217423418278758
01.01.2023 10:30,-0.5877202974657999,-0.1874568294052415
01.01.2023 10:45,-0.6273308723143464,-0.3181767523924376
01.01.2023 11:00,-0.29924828670627723,-0.3596138253939653
01.01.2023 11:15,-0.6148029179095665,-0.21518901728308734
01.01.2023 11:30,-0.5695770364775773,-0.3227170934174708
01.01.2023 11:45,-0.16771747543105667,-0.3551930245603184
01.01.2023 12:00,-1.1092358052133222,-1.1865884191154394
01.01.2023 12:15,-0.9450862436589907,-1.6017805934622271
01.01.2023 12:30,-0.5924366629117485,-0.5651853735763864
01.01.2023 12:45,-1.0097771649680563,-0.9159095822914474
01.01.2023 13:00,-0.14865333135587683,-0.2576552505187744
01.01.2023 13:15,-1.4021960870814887,-1.4227465198487923
01.01.2023 13:30,-1.5252033850713167,-1.5744075120979728
