time-step,ESS1,ESS2
01.01.2023 00:00,1.6950397075534958,1.3928233838023356
01.01.2023 00:15,1.5207107163986673,1.4234892219279804
01.01.2023 00:30,1.367464085034311,1.4614646564066314
01.01.2023 00:45,0.8167854908267852,1.1222227376620841
01.01.2023 01:00,0.0,0.0
01.01.2023 01:15,0.0,0.0
01.01.2023 01:30,0.0,0.0
01.01.2023 01:45,0.0,0.0
01.01.2023 02:00,0.0,0.0
01.01.2023 02:15,0.0,0.0
01.01.2023 02:30,0.0,0.0
01.01.2023 02:45,1.385577023335912,1.6507979955308576
01.01.2023 03:00,1.824863305868626,1.8433492993194998
01.01.2023 03:15,1.8557111586092918,1.7230073382054851
01.01.2023 03:30,1.7210594687034828,1.7483809550666451
01.01.2023 03:45,1.7980525605828075,1.5776993754252022
01.01.2023 04:00,0.4147364752068259,0.4567650287543817
01.01.2023 04:15,0.0,0.0
01.01.2023 04:30,0.0,0.0
01.01.2023 04:45,0.0,0.0
01.01.2023 05:00,0.0,0.0
01.01.2023 05:15,0.0,0.0
01.01.2023 05:30,0.3819112908979669,0.6094663183387018
01.01.2023 05:45,1.741171078160604,1.4919173954111065
01.01.2023 06:00,1.6123678449319336,1.9755526257598346
01.01.2023 06:15,1.7711104571381644,1.7432474553423296
01.01.2023 06:30,1.6402656378212666,1.7568478225548956
01.01.2023 06:45,1.8463265523880532,1.5237796775804733
01.01.2023 07:00,1.8068471376770063,1.6991887040562268
01.01.2023 07:15,0.0,0.0
01.01.2023 07:30,0.0,0.0
01.01.2023 07:45,0.0,0.0
01.01.2023 08:00,0.0,0.0
01.01.2023 08:15,0.0,0.0
01.01.2023 08:30,0.0,0.0
01.01.2023 08:45,1.8101119575480025,1.7025312331274418
01.01.2023 09:00,1.912691003722242,1.6753767947391105
01.01.2023 09:15,1.9635096510225818,1.930493883836447
01.01.2023 09:30,2.0971776955598345,2.1002521799887055
01.01.2023 09:45,1.9690476956302088,2.072652448209864
01.01.2023 10:00,0.0,0.0
01.01.2023 10:15,0.0,0.0
01.01.2023 10:30,0.0,0.0
01.01.2023 10:45,0.0,0.0
01.01.2023 11:00,2.25,2.25
01.01.2023 11:15,0.0,0.0
01.01.2023 11:30,0.0,0.0
01.01.2023 11:45,2.25,2.25
01.01.2023 12:00,0.36356293486741403,0.0
01.01.2023 12:15,0.6295223238175253,0.6742124118960693
01.01.2023 12:30,0.25010397344220986,0.5771398326796551
01.01.2023 12:45,0.0,0.3951418923730676
01.01.2023 13:00,0.0,0.0
01.01.2023 13:15,1.9666780450693668,1.933810882720482
01.01.2023 13:30,1.1060379352177232,1.0265746060648688
01.01.2023 13:45,1.0875310359817028,1.0578268699591105
01.01.2023 14:00,1.5748371401483399,0.0
01.01.2023 14:15,1.2807449752491378,1.3061187389250717
01.01.2023 14:30,1.3474562755591761,1.0180388918341918
01.01.2023 14:45,0.2388144528125729,0.6814711930156656
01.01.2023 15:00,0.22609471549169574,0.9007702431197531
01.01.2023 15:15,0.4352884183336451,0.7751283086478117
01.01.2023 15:30,0.7176479467873621,0.8044516631882582
01.01.2023 15:45,0.0,0.0
01.01.2023 16:00,2.25,2.25
01.01.2023 16:15,0.0,0.0
01.01.2023 16:30,2.25,2.25
01.01.2023 16:45,0.0,0.0
01.01.2023 17:00,0.0,0.0
01.01.2023 17:15,0.0,0.0
01.01.2023 17:30,0.0,0.0
01.01.2023 17:45,2.25,2.25
01.01.2023 18:00,2.25,2.25
01.01.2023 18:15,2.25,2.25
01.01.2023 18:30,2.25,2.25
01.01.2023 18:45,0.0,0.0
01.01.2023 19:00,2.25,2.25
01.01.2023 19:15,0.0,0.0
01.01.2023 19:30,2.25,2.25
01.01.2023 19:45,0.0,0.0
01.01.2023 20:00,0.0,0.0
01.01.2023 20:15,0.0,0.0
01.01.2023 20:30,2.25,2.25
01.01.2023 20:45,0.0,0.0
01.01.2023 21:00,0.0,0.0
01.01.2023 21:15,2.25,2.25
01.01.2023 21:30,0.0,0.0
01.01.2023 21:45,0.0,0.0
01.01.2023 22:00,0.0,0.0
01.01.2023 22:15,0.0,0.0
01.01.2023 22:30,1.8418887047130728,1.3249407651936715
01.01.2023 22:45,1.62115173985661,1.4857445723939868
01.01.2023 23:00,1.8318664137230722,1.6212221170261587
01.01.2023 23:15,1.7463832981238603,1.793427233474616
01.01.2023 23:30,0.0,0.0
01.01.2023 23:45,0.0,0.0
