time-step;ESS1;ESS2
01.01.2023 00:00;0.16338826810942442;0.14539804101764872
01.01.2023 00:15;0.14051085017122752;0.1539091436544858
01.01.2023 00:30;0.13888230603343682;0.14401056810429994
01.01.2023 00:45;0.03721857566104397;0.03668224720268245
01.01.2023 01:00;0.0;0.0
01.01.2023 01:15;0.0;0.0
01.01.2023 01:30;0.0;0.0
01.01.2023 01:45;0.0;0.0
01.01.2023 02:00;0.0;0.0
01.01.2023 02:15;0.0;0.0
01.01.2023 02:30;0.0;0.0
01.01.2023 02:45;0.12934843592493295;0.1742890659644335
01.01.2023 03:00;0.18075551373286122;0.18606574672458784
01.01.2023 03:15;0.1735521041537986;0.18431974549567134
01.01.2023 03:30;0.16178078037432267;0.1851632620545362
01.01.2023 03:45;0.15456316569297648;0.18301202786277906
01.01.2023 04:00;0.0;0.0
01.01.2023 04:15;0.0;0.0
01.01.2023 04:30;0.0;0.0
01.01.2023 04:45;0.0;0.0
01.01.2023 05:00;0.0;0.0
01.01.2023 05:15;0.0;0.0
01.01.2023 05:30;0.0;0.0
01.01.2023 05:45;0.15322813805737023;0.17008070930186592
01.01.2023 06:00;0.17756112706697882;0.18123091998174926
01.01.2023 06:15;0.17721070805197792;0.17422508317172078
01.01.2023 06:30;0.17013543120805522;0.16957591484360632
01.01.2023 06:45;0.16373017516069238;0.1732804478834241
01.01.2023 07:00;0.11813442021213263;0.09160692457468485
01.01.2023 07:15;0.0;0.0
01.01.2023 07:30;0.0;0.0
01.01.2023 07:45;0.0;0.0
01.01.2023 08:00;0.0;0.0
01.01.2023 08:15;0.0;0.0
01.01.2023 08:30;0.0;0.0
01.01.2023 08:45;0.1727626634899768;0.17850165536503093
01.01.2023 09:00;0.18219521061510646;0.17661156928376479
01.01.2023 09:15;0.19543258609432504;0.19396776725484988
01.01.2023 09:30;0.2;0.2
01.01.2023 09:45;0.2;0.2
01.01.2023 10:00;0.0;0.0
01.01.2023 10:15;0.0;0.0
01.01.2023 10:30;0.0;0.0
01.01.2023 10:45;0.0;0.0
01.01.2023 11:00;0.0;0.0
01.01.2023 11:15;0.0;0.0
01.01.2023 11:30;0.0;0.0
01.01.2023 11:45;0.2;0.2
01.01.2023 12:00;0.14445283199545314;0.126461697826237
01.01.2023 12:15;0.11784443119259126;0.14530357858579765
01.01.2023 12:30;0.13089729843550263;0.13130251050645278
01.01.2023 12:45;0.1668054383682336;0.15693221307328178
01.01.2023 13:00;0.2;0.2
01.01.2023 13:15;0.0;0.0
01.01.2023 13:30;0.0;0.0
01.01.2023 13:45;0.0;0.0
01.01.2023 14:00;0.0;0.0
01.01.2023 14:15;0.0;0.0
01.01.2023 14:30;0.2;0.2
01.01.2023 14:45;0.13400272196909338;0.1354171479836882
01.01.2023 15:00;0.13354777903607395;0.1271438831270404
01.01.2023 15:15;0.11005357914848261;0.11873596295600884
01.01.2023 15:30;0.18239591979658248;0.1787030058833949
01.01.2023 15:45;0.2;0.2
01.01.2023 16:00;0.0;0.0
01.01.2023 16:15;0.0;0.0
01.01.2023 16:30;0.2;0.2
01.01.2023 16:45;0.0;0.0
01.01.2023 17:00;0.0;0.0
01.01.2023 17:15;0.0;0.0
01.01.2023 17:30;0.0;0.0
01.01.2023 17:45;0.2;0.2
01.01.2023 18:00;0.2;0.2
01.01.2023 18:15;0.2;0.2
01.01.2023 18:30;0.2;0.2
01.01.2023 18:45;0.0;0.0
01.01.2023 19:00;0.2;0.2
01.01.2023 19:15;0.0;0.0
01.01.2023 19:30;0.2;0.2
01.01.2023 19:45;0.0;0.0
01.01.2023 20:00;0.0;0.0
01.01.2023 20:15;0.0;0.0
01.01.2023 20:30;0.2;0.2
01.01.2023 20:45;0.0;0.0
01.01.2023 21:00;0.0;0.0
01.01.2023 21:15;0.2;0.2
01.01.2023 21:30;0.0;0.0
01.01.2023 21:45;0.0;0.0
01.01.2023 22:00;0.0;0.0
01.01.2023 22:15;0.0;0.0
01.01.2023 22:30;0.1388422445282666;0.17784070265632393
01.01.2023 22:45;0.11748910427970019;0.19320052695021864
01.01.2023 23:00;0.1553596994758216;0.18994915360399028
01.01.2023 23:15;0.16279396941990595;0.19118708373420357
01.01.2023 23:30;0.0;0.0
01.01.2023 23:45;0.0;0.0
