time-step;PCC-Load1;PCC-Load2;ESS1-Load1;RES1-Load1;RES1-ESS1;ESS2-Load2;RES2-Load2;RES2-ESS2;Load1-Load2
01.01.2023 00:00;-0.12168520618255396;0.12170523720838045;-0.09590607567754697;0.07235088204118964;-0.07552826140456759;-0.05445828136680392;0.09343275943694292;-0.09589784967876902;-0.15175269482827194
01.01.2023 00:15;-0.1441484704124374;0.14416560918552612;-0.06445043373824809;0.08645880193753619;-0.09287538893730662;-0.0842743825897745;0.0769698753140342;-0.08254482466864665;-0.12788888829062872
01.01.2023 00:30;-0.14397088102858735;0.14399709275978712;-0.06641923248889911;0.08819565029222856;-0.08916999013417914;-0.08633315043093759;0.07867516460285869;-0.07878079989962572;-0.1279224735130941
01.01.2023 00:45;-0.16477951325828943;0.16480198200312035;-0.04018205768324247;0.10150862951114582;-0.10209368341725877;-0.11676207638502564;0.07185524965209532;-0.055169843964521625;-0.10933070428130393
01.01.2023 01:00;-0.1278460307629734;0.12786450950913686;-0.08670911454019996;0.07601887173805716;-0.08105645527280014;-0.06230844423733632;0.0886341820159017;-0.09284498019548959;-0.14492944731184065
01.01.2023 01:15;-0.14281434444775343;0.14283182991287546;-0.06666425593119239;0.08589053343331865;-0.09122972412843922;-0.08252336061963611;0.07841167620961487;-0.08285228633265262;-0.12969159128342256
01.01.2023 01:30;-0.15131634966868912;0.151345923716387;-0.06187487267021283;0.09102959196719658;-0.09088003982619419;-0.09231041604434202;0.07849170718818836;-0.07298387055828304;-0.12815630393561778
01.01.2023 01:45;-0.13732409350969021;0.13861079785501929;-0.082313734373722;0.08995689559536726;-0.07146402968364285;-0.08306064981823535;0.0898397567284169;-0.07081461977306613;-0.1356514603148458
01.01.2023 02:00;-0.13619906152229166;0.13739527698238962;-0.08360820988586126;0.08928410469616863;-0.07084564107983926;-0.08178506467053587;0.09044620980783137;-0.07148205468862034;-0.13653783426019112
01.01.2023 02:15;-0.13485541737084628;0.13599470904062283;-0.0839389360377928;0.08860766251140892;-0.07119269829101249;-0.08246496192101384;0.09276260984958938;-0.06849477763707501;-0.1369209854506642
01.01.2023 02:30;-0.13666414385147263;0.13788373929860498;-0.08237884609921572;0.08981255196566534;-0.07154187535468015;-0.08327439141767047;0.08961805514317432;-0.07082472556811759;-0.13529701643688996
01.01.2023 02:45;-0.1466550973485532;0.14667636900844983;-0.061102331471304186;0.08990442920799299;-0.0927778743059271;-0.08969683396504877;0.07605533966169457;-0.0780373444593323;-0.12372363112178117
01.01.2023 03:00;-0.14816488923543147;0.14819288047231893;-0.06459010014539414;0.09120755453364825;-0.08798763104271856;-0.08646842667429568;0.07816404408160782;-0.07915671136517854;-0.12765762344195197
01.01.2023 03:15;-0.12797819151883338;0.12799794661852282;-0.09069478449058116;0.07589700511031283;-0.0771932810146918;-0.05871784623447737;0.09138946299937825;-0.09368198013412421;-0.1484600592458032
01.01.2023 03:30;-0.14894947525565438;0.14897829291136144;-0.06112610213564697;0.09085034646712467;-0.09180874552667717;-0.08953202240473343;0.07712616253824052;-0.07713102649405634;-0.12512303337524416
01.01.2023 03:45;-0.11582435244921907;0.11585666607934098;-0.11219443939111991;0.0740743443503183;-0.057516900507135205;-0.04477385451773228;0.09974039560468163;-0.09927625845857513;-0.15933608009783187
01.01.2023 04:00;-0.11070994800394995;0.11071891073843698;-0.11427450502214533;0.06319308915049296;-0.06631682909332515;-0.04097220647374915;0.10903481037237335;-0.09378078427137293;-0.16694428995900734
01.01.2023 04:15;-0.1380521955192151;0.13882584665856257;-0.08205087097317822;0.09080870317614298;-0.0709242676802484;-0.08264599740326732;0.0907404958350767;-0.07039374513603835;-0.13590855533502214
01.01.2023 04:30;-0.13759043541274352;0.13889816615459338;-0.08135552867750093;0.09048554984273433;-0.07189167303056454;-0.08285835690361472;0.08999588384678495;-0.07085740659832052;-0.13536550665590058
01.01.2023 04:45;-0.13798918128354032;0.13965878085150862;-0.08138563018691658;0.09102291177041535;-0.07132458815630738;-0.08227719514218784;0.09079875266427509;-0.0706362992780214;-0.13590298702363784
