,0,1
Outdoor Air/Water_Regulated,0.21502871876896193,3.3070382722469502
Outdoor Air/Water_On-Off,0.15630547963035274,3.050943641806586
Brine/Water_Regulated,0.08421153366064742,3.719084768799756
Water/Water_On-Off,0.12595939086294403,4.381142131979696
Brine/Water_On-Off,0.06863337154085472,3.5208154576715245
Brine/Water and Water/Water_Regulated,0.10151525459207698,3.887299701711235
Water/Water_Regulated,0.06171065989847722,4.219512690355328
Brine/Water and Water/Water_On-Off,0.08960166384658771,3.7729913987591654
