time-stamp,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
2023-01-01 00:00:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 00:15:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 00:30:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 00:45:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 01:00:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 01:15:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 01:30:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 01:45:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 02:00:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 02:15:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 02:30:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 02:45:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 03:00:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-01 03:15:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
