time;ETI-IST;AW-NWZ 1;AW-NWZ 2;NWZ-MENSA;NWZ-WW;ETI-IW;IW-HdS;HdS-ARENA;ARENA-HKW;MENSA-MPA;MPA-HKW;NWZ-STP;STP-DLR;DLR-Muff_HKW-DLR;DLR-Muff_DLR-ATRIUM;HdM-RZ;RZ-Birkhof;RZ-KZS;AW-IFB;IFB-VFG;VFG-Bio;Bio-VISUS;Bio-MIKRO;MIKRO-SPZ;MIKRO-KZS;KZS-IFF;IFKB-AW Erw.;HKW-L3 RN;HKW-AERO;AERO-Statik;Statik-L3 RN;HKW-KZN;KZN-ENTE;KZN-ILA1 RN;ILA1 RN-ILA2 RN;ILA1 RN-IVK RN;IVK RN-OGI;OGI-Polizei;OGI-HKW;AW-Muff_AW-INFO;Muff_AW-INFO-INFO;INFO-Muff_INFO-ETI;Muff_INFO-ETI-ETI;Muff_HKW-DLR-HKW;Muff_DLR-ATRIUM-ATRIUM;DLR-KLW;AW-Muff_AW-ZHI;Muff_AW-ZHI-ZHI;ZHI-Muff_ZHI-HdM;Muff_ZHI-HdM-HdM;AW Erw.-Muff_AW-KZS1;Muff_AW-KZS1-Muff_AW-KZS2;Muff_AW-KZS2-KZS;IFF-Muff_IFF-ZAQ;Muff_IFF-ZAQ-ZAQ;ZAQ-Muff_ZAQ-IFKB;Muff_ZAQ-IFKB-IFKB;AW-HLRS 1;HLRS 1-HLRS 2;HLRS 2-AW Erw.;AW Erw.-AW 2.Erw.;ES4-AW 2.Erw.;AW 2.Erw.-AW;Muff_AW-INFO-Batt1_Muff_AW-INFO;Muff_INFO-ETI-Batt2_Muff_INFO-ETI;Muff_AW-ZHI-Batt3_Muff_AW-ZHI;Muff_HKW-DLR-Batt4_Muff_HKW-DLR;Muff_DLR-ATRIUM-Batt5_Muff_DLR-ATRIUM;Muff_ZHI-HdM-Batt6_Muff_ZHI-HdM;Muff_AW-KZS1-Batt7_Muff_AW-KZS1;Muff_AW-KZS2-Batt8_Muff_AW-KZS2;Muff_IFF-ZAQ-Batt9_Muff_IFF-ZAQ;Muff_ZAQ-IFKB-Batt10_Muff_ZAQ-IFKB
01.01.2023 00:00;-35.782807760689465;44067.056327713086;44067.056327713086;20592.779586645353;-19.264382884837445;9642.440968349956;9764.374901520652;9794.768545225093;9828.228218593562;20602.674438100556;20779.880809358736;68322.11743659545;68365.63003273142;-31626.72652282463;99992.356555535;-30149.112192357356;0.0;-30039.614468421143;-49754.29502390168;-49683.40658862164;-49626.30844453155;-28.09303391470676;-49436.420183453374;-9.472102821117655;-49426.94808063141;13589.5408543251;13650.490070510372;-134.30812906917095;-59.278340993210115;-8.028629166337176;10.32381523723522;-160.13554300826968;-32.311221184341015;19.845384583063304;0.0;111.48342144332057;259.55788209438515;0.0;363.11049430609165;9297.87185145143;9297.871851447348;9428.117751586104;9428.117751583462;-31626.72652281381;-7.643444456770894;0.0;-24931.229281956195;-24931.229281955275;-24931.22928195617;-30149.112192359426;-7371.738146815309;-7371.738146813239;92628.26185318638;13614.952894297148;13614.95289429844;13614.95289429848;13614.952894295748;-21941.194519365672;-20216.96253569096;-20216.96253568986;805.2656816348922;0.0;805.2656816352526;0.0;0.0;0.0;0.0;100000.0;5217.882910403326;0.0;-100000.0;0.0;2.473825588822365e-09
01.01.2023 00:15;-36.16081035051846;-2326.0636842373497;-2326.0636842373497;16752.403018135883;-16.369196051176672;2500.099812705146;2622.0507865277123;2651.011524848243;2680.4650652382443;16761.31577278316;16930.720262007584;-20616.376815084215;-20572.598993677304;79434.81361256362;-100007.41260623116;-207.22328624948761;0.0;-112.96737453230105;-543.775839946913;-476.28285749075826;-420.0305163992248;-28.82126760653366;-235.29294889257312;-9.441624785962189;-225.85132410674396;30.576496446313968;90.01945081447138;-121.62282411142186;-57.01266407858259;-6.52450606870674;11.589189855930673;-156.3138286158221;-31.798199074863376;22.13582989585079;0.0;105.84233795781674;246.1006562550844;0.0;350.1551359617174;7260.165697116886;2169.5190085161266;2284.4947299715786;2284.4947299722553;-20565.186387435744;-7.412606240015799;-3.4789137414348002e-09;-207.22328624813656;-207.22328624870113;-207.22328624825286;-207.22328624832062;-20.307100305026083;-20.307100305832222;-20.30710030533909;56.04439594112182;56.04439594112;56.0443959408542;56.04439594187852;-1843.348206089533;-96.63555476253077;-96.63555476500187;13.6909963559728;0.0;13.690996355889453;5090.646688600753;0.0;0.0;100000.0;-100000.0;0.0;0.0;0.0;0.0;0.0
01.01.2023 00:30;-35.97305244395785;-41.90512326750536;-41.90512326750536;415.2131060707429;-18.449283998582178;-2017.4899037452583;-1900.300815843661;-1871.1819168580046;-1842.8708986333766;424.3192972655902;570.5135415509028;289.5624899115524;333.5728424609754;341.1799256197782;-7.607083160908057;-2648.945005710061;-2.1060528508526696e-09;-2555.9570298901285;-4907.033765559301;-4840.016378223074;-4784.581906396167;-28.674665319427735;-4585.020612692797;-9.3597484219261;-4575.660864269757;-6447.566520564393;13613.469711621367;-124.29747866403645;-56.02727222721428;-7.145169025820698;10.32102653789223;-142.67783161766576;-28.018503190249127;16.550247912903277;0.0;95.75650429401587;233.80074975420595;0.0;333.4225582075378;22479.265466093282;-2336.3558303493346;-2221.7956245637256;-2221.7956245643713;341.17992562261475;-7.607083161206215;-2.5505292276445994e-09;-2648.9450057102295;-2648.9450057100958;-2648.945005709177;-2648.945005708276;301.097567383864;301.0975673836903;301.09756738220943;-6422.016691830875;-6422.0166918306095;-6422.016691831055;13577.98330816785;-14327.169528667031;-12800.065224618447;-12800.065224616908;512.3069196158312;0.0;512.30691961762;24815.6212964418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-20000.0
01.01.2023 00:45;-32.718782387996015;-38676.71711235743;-38676.71711235743;-33013.03196414452;-16.705811464602846;-19885.065452075127;-19767.66229893679;-19739.77469691813;-19710.418231250434;-33007.814984683704;-32865.738962559815;-43641.741224793645;-43598.029117292695;-43590.83404057552;-7.195076716607085;-205.9582303566931;0.0;-104.65198197071732;-555.1619081421304;-482.30791400246017;-426.9599410736446;-25.542009921104647;-220.52288259952547;-8.478082339999949;-212.04480026005695;39.582034903352906;92.90099777768773;-120.67884239777216;-58.928401291077655;-4.957333584524983;12.342765493010132;-113.39123407996149;-39.17973523612134;-3.422298714938866;0.0;77.05586523109861;226.19304771617715;0.0;320.65071499580864;79753.3714887489;-20246.628511250678;-20129.07325424133;-20129.073254242307;51696.72146953326;-7.1950767168984795;4.607656467516487e-09;-205.95823035636386;-205.95823035582362;-205.95823035653484;-205.95823035602734;-21.641592176377344;-21.641592176686572;-21.64159217698625;59.31497705091169;59.31497704962385;59.314977049813024;59.31497705010406;-1626.1781147906295;-101.90357920801762;-101.9035792052673;12.639010747264365;0.0;12.639010747227076;100000.0;0.0;0.0;-95287.55551010686;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2023 01:00;-31.045217146504168;-3212.0145975620135;-3212.0145975620135;-3383.5476261773174;-16.340731285850516;4592.004799356484;4715.811541401416;4742.55370185692;4769.55484621469;-3379.543930324493;-3253.1406239192324;-2398.7335433096237;-2359.9733811057577;-2352.2896779721027;-7.683703124704675;18468.26219697427;0.0;18560.417189837757;32754.780830773772;32816.21482341368;32872.62284388524;-24.3141412498313;33089.72878928517;-8.565377010081725;33098.294166294756;-9014.518143139032;-8960.274579696299;-108.19770343000972;-55.62106123809946;-2.8170282284096437;12.186853385018773;-104.8978660133453;-28.911523637403842;-5.669793584841303;0.0;73.67830358896803;209.07490360121412;0.0;306.0010413085046;-58043.69574532353;4247.880107759654;4375.743582691876;4375.743582693839;-2352.2896779814146;-7.683703124982372;-1.6560105455597157e-09;18468.26219697385;18468.26219697356;18468.26219697475;18468.26219697377;5747.536815992214;-68877.67749363743;-61036.09171159844;-8994.760463745133;-8994.76046374379;-8994.760463743798;-8994.760463742874;12695.833015118462;14158.962498121065;14158.962498118944;-548.8488975673665;0.0;-548.8488975675118;-62291.57585308045;0.0;0.0;0.0;0.0;0.0;74625.214309629;-7841.585782039304;0.0;0.0
01.01.2023 01:15;-28.820630456461565;-16114.700734753762;-16114.700734753762;-14143.638174069894;-16.75185520119873;-4606.869348266098;-4487.300485013908;-4459.921931771655;-4433.929361505859;-14139.221346198383;-14010.353334230907;-17453.871066031934;-17410.7524858971;-17403.291828492147;-7.460657399435135;10199.999822686608;0.0;10292.507841117815;18014.243514097616;18075.711664162445;18131.146692293158;-28.07616834412491;18335.214792949868;-8.781692896017148;18343.996485845364;30679.19171947054;-8777.592851411708;-107.4820096105478;-54.78069793435459;-2.8525922258386913;11.75003363066575;-123.2832891608152;-30.65517243835061;1.7705923710617029;0.0;87.68439554525764;224.93964617104726;0.0;328.90351155615855;-4938.331549862914;-4938.331549861229;-4816.261063111851;-4816.26106311105;17553.766246106534;-7.460657399716949;1.4651382550501043e-09;10199.99982268653;10199.999822686668;10199.99982268655;10199.99982268673;1669.5908355919648;1669.5908355916617;1669.5908355917281;30700.637640108755;-8813.116206604613;-8813.1162066045;-8813.116206604056;8566.109037003556;10059.80304143004;10059.803041430963;-387.3806455730311;0.0;-387.3806455731301;0.0;0.0;0.0;-34957.05807460348;0.0;0.0;0.0;0.0;39513.75384671278;0.0
01.01.2023 01:30;-23.99762187940491;-699.6239670473666;-699.6239670473666;-447.2656627943561;-17.19423746860757;-473.6066656930974;-369.90162048447127;-339.2653497912903;-312.6440837451254;-444.38549412468444;-315.02182346392476;-328.8619066257339;-280.73567605904407;-272.88910445073;-7.84657160787481;-198.60860263570373;0.0;-105.56624932216675;-539.745519224218;-467.35517962874405;-412.9931476935021;-29.82227418052283;-212.39008100121805;-8.123550925076174;-204.266530076192;33.59136910400616;86.95285107147674;-121.48922628708563;-57.3924214962438;-4.7630122585007975;10.632316605096163;-119.36719487606102;-30.89305226297068;-4.384873851866107;0.0;89.85226574659828;230.1590287049174;0.0;333.27196906199754;3910.2244314643985;-804.9159773428817;-685.0225060648319;-685.0225060648772;-272.88910445069223;-7.846571608166214;0.0;-198.60860263567992;-198.6086026356581;-198.6086026356768;-198.60860263566872;-19.40480625394936;-19.404806253947996;-19.40480625395972;53.185986035832;53.18598603579085;53.185986035790165;53.1859860357913;-1759.519828516502;-93.25511033217572;-93.2551103321075;13.10254699325786;0.0;13.102546993258898;4715.140408807283;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2023 01:45;-42.634816543475786;-3353.11918637731;-3353.11918637731;-3525.855181104178;-15.625715521599005;4793.454314143896;4895.3345775123025;4926.504480850423;4949.557179679094;-3522.8338643322472;-3399.7837911055262;-2508.078716035173;-2459.423585491602;-2450.30489948851;-9.118686002595068;-207.98978532009846;0.0;-106.8048641554642;-567.386801738664;-500.1597449326082;-450.98789482099755;-29.747438220996717;-214.6386788458717;-8.539712774847798;-206.09896607108703;27.8022573975868;91.32411674487594;-117.52907197517416;-57.50838838060501;-4.035971534185375;11.525790834241505;-124.98120178251632;-27.807035711470583;-0.41252955519732;0.0;93.11673216024407;233.81491316291024;0.0;333.8667038327099;9364.427857838906;-12071.082139010421;-11951.671578509997;4556.050608593031;-2450.3048994884048;-9.118686002899455;0.0;-207.9897853200555;-207.98978531984608;-207.9897853200548;-207.98978531989155;-19.944165938241497;-19.944165938402023;-19.944165938431013;55.09809191933982;55.09809191902059;55.098091919084254;55.09809191893328;-1868.9509915988456;-97.40637625596537;-97.40637625563795;13.86190642719987;0.0;13.86190642719373;21435.5099968493;-16507.722187103172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2023 02:00;-40.47238374324726;-683.9249270839427;-683.9249270839427;-395.5948098569791;-14.938493575272716;-462.59349711841355;-364.9216765790488;-335.8581889739899;-311.60159826217273;-392.63364840991215;-278.5503928379494;-297.2108463401204;-247.3417585076095;-237.96284566939758;-9.378912837758563;-212.00581271954724;0.0;-111.85694691432855;-608.3462391395998;-541.4688142564542;-484.06366898349575;-29.317509353955597;-197.66811103164503;-8.241209957089861;-189.42690107460623;32.910862402944986;92.81445500647669;-117.6890212634963;-57.41395328418554;-4.062598823749356;11.412259448571184;-128.4788417903457;-27.869448318397225;7.1535927080149255;0.0;93.26268203715414;219.3418929230116;0.0;322.9474065443173;4053.5495784070768;-813.7309890747965;-693.4376380515598;-693.4376380516065;-237.96284566935807;-9.378912838058959;0.0;-212.0058127195228;-212.00581271950097;-212.00581271951955;-212.00581271951165;-20.932598115512036;-20.93259811550992;-20.932598115522268;57.66415266405943;57.66415266401873;57.664152664017365;57.664152664016456;-1851.5005560127727;-99.89993675471032;-99.89993675464166;13.847116367286176;0.0;13.847116367287441;4867.280567481877;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01.01.2023 02:15;-37.996055139140836;-113049.1238393816;-113049.1238393816;-88096.77723797993;-17.760436814451882;24311.817710107418;24416.915374577427;24447.565030215166;24470.745315468826;-88093.13312085193;-88000.67185406666;-137363.13341522237;-137321.95096034653;-37315.26141949474;-100006.68954078987;-22710.952035873488;-1.0698245430308643e-08;-22599.601421463834;-149120.68365476397;-149053.8957333008;-149002.65952751203;-30.334478394799298;-148717.23062782869;-8.713629249105779;-148708.5169985778;-14492.24195553235;185561.23738432338;-115.0238755257459;-57.75807494164857;-3.245642364629962;11.991314949609391;-133.40677452542948;-30.36337899488421;10.14791796072997;0.0;97.16378031921575;222.02924172713855;0.0;324.75065674849;-176048.29166651674;-76048.29166650018;-75913.60577542134;24086.394224588315;62684.73858045345;-6.689540798706251;4.3221564445271696e-09;-222710.9520358692;-122710.9520358719;-122710.95203586563;-22710.952035858605;-43536.91467221436;56463.085327788016;156463.08532777443;-14467.875985915634;85532.12401408865;85532.12401408558;185532.1240140844;261320.33529052927;262888.9481100658;262888.94811008475;491987.10016658274;-1004644.9399118102;-512657.8397452631;-100000.0;-100000.0;-100000.0;-100000.0;-100000.0;-100000.0;-100000.0;-100000.0;-100000.0;-100000.0
