time-step,PCC,Load1,Load2,RES1,RES2,ESS1,ESS2
01.01.2023 00:00,0.0,0.03171688170873989,0.03883902513700385,-0.022305543007503023,-0.03242494884702469,0.006582356448382398,0.007200250897268341
01.01.2023 00:15,0.0,0.03235940928211453,0.03884787799723355,-0.02351181701928978,-0.032264753143186976,0.0053262390099498985,0.00703589570860208
01.01.2023 00:30,0.0,0.0326205640880248,0.038805469138096516,-0.02343362251888227,-0.030946521526123275,0.004689024048976156,0.004501677332185754
01.01.2023 00:45,0.0,0.0268952116589347,0.035929817729206684,-0.023917163539100054,-0.031464241444303556,0.00508535796095419,0.0022621278954590082
01.01.2023 01:00,0.0,0.02936715897238569,0.0369796607973303,-0.027279589573577148,-0.03395926090553454,-0.001704555960814244,-0.0004920248941363004
01.01.2023 01:15,0.0,0.028524558401691144,0.036990359921845364,-0.02613356760476233,-0.03333281463459589,-0.0003134648381605404,-0.004318063049196082
01.01.2023 01:30,0.0,0.028975748623935635,0.03676014890847214,-0.026660601219001046,-0.03383031198708884,-0.0021156708334122004,0.0005453544807690475
01.01.2023 01:45,0.0,0.04503943393881811,0.045485517489668545,-0.04209396512241784,-0.043311947098586184,-0.03611500693977577,-0.03895855239550534
01.01.2023 02:00,0.0,0.04510139871361302,0.045567759522172596,-0.042359055108823415,-0.04332435988678332,-0.03594996444585294,-0.0389458771289064
01.01.2023 02:15,0.0,0.04511240232727215,0.0455426266741987,-0.042109876597258115,-0.04335791976988797,-0.03610648446694504,-0.03896086130366784
01.01.2023 02:30,0.0,0.045038333570181124,0.045427618143543194,-0.042122635058888934,-0.043424894487551206,-0.03613361158552035,-0.03878996597372095
01.01.2023 02:45,0.0,0.03216018022631632,0.03910616867975453,-0.022737536509932595,-0.031147788580149702,0.0046460644377984625,0.006958557660987408
01.01.2023 03:00,0.0,0.03156867562773552,0.03847820112205354,-0.02241687570151278,-0.03245261533933568,0.007156072474767308,0.01134874388529098
01.01.2023 03:15,0.0,0.03320507880802709,0.03831234297848851,-0.021916024930319463,-0.029997224866325996,0.006899087457618733,0.005491654702051235
01.01.2023 03:30,0.0,0.03326594087398929,0.03872422358859559,-0.022816273735949067,-0.03127063328577402,0.005501789694255771,0.00855032232311348
01.01.2023 03:45,0.0,0.032841817830594935,0.03843172668945921,-0.022415340349639806,-0.030960156862717716,0.006016591168771367,0.008795762986016017
01.01.2023 04:00,0.0,0.0279746070780484,0.03562194967697682,-0.025843913866080887,-0.03234422455501864,-0.00012805852414075197,0.0020248447765065306
01.01.2023 04:15,0.0,0.04136630348225402,0.043063316153499204,-0.037474870571617594,-0.04014801450320052,-0.025616495606712555,-0.031249327999034012
01.01.2023 04:30,0.0,0.045008152954140096,0.04543818584552742,-0.042119024429596204,-0.0433964539637919,-0.036142034540898385,-0.03857333404986136
01.01.2023 04:45,0.0,0.045040430153772404,0.04534134539640439,-0.042162679670383674,-0.043258799095906214,-0.03576185132034678,-0.03830149231051546
01.01.2023 05:00,0.0,0.044976704470314766,0.04547373208912257,-0.04212233338252087,-0.04331991006089887,-0.036038285838959946,-0.038595265616006
01.01.2023 05:15,0.0,0.044903143111426985,0.0454894838056948,-0.04201118257055054,-0.04334377208740917,-0.03571804598426544,-0.03876728420926969
01.01.2023 05:30,0.0,0.027353339228659304,0.03565311220633291,-0.026086208861120345,-0.0315304484019389,0.00032264020443374675,0.0015051289446510671
01.01.2023 05:45,0.0,0.03338986960613553,0.03843890085616447,-0.02431215184070086,-0.031993276225345424,0.0058328055483461705,0.009994813685806098
01.01.2023 06:00,0.0,0.03294158685995731,0.038090623666101456,-0.022137643744686693,-0.03158185076868178,0.00515833124633866,0.010600634957716584
01.01.2023 06:15,0.0,0.03310938916537366,0.038231523691125244,-0.021858523704926025,-0.030063256839637727,0.0063242973430828325,0.005461854929114149
01.01.2023 06:30,0.0,0.033192388665569075,0.03845878641121574,-0.023594032360848578,-0.03180345064431693,0.005354583506598662,0.00991481966318812
01.01.2023 06:45,0.0,0.03318768335071849,0.03817507395102715,-0.023537272435017874,-0.03190895399936904,0.00566458435894799,0.00907865120229695
01.01.2023 07:00,0.0,0.03474971399040418,0.03878303417961436,-0.024677464928961536,-0.030315595582233873,0.0045811820724009425,0.006054059240495624
