time_step,SOC_batt,p_batt_charge,p_batt_discharge,p_RES,p_curtailment,p_RES_net
0,0.5,-0.0,8565.408695727687,0.0,0.0,0.0
1,0.49643107971011347,-0.0,8476.510386552969,0.0,0.0,0.0
2,0.49289920038238305,-0.0,8387.61207737825,0.0,0.0,0.0
3,0.48940436201680876,-0.0,8298.713768203532,0.0,0.0,0.0
4,0.48594656461339064,-0.0,8293.443339094229,0.0,0.0,0.0
5,0.4824909632221014,-0.0,8288.172909984924,0.0,0.0,0.0
6,0.479037557842941,-0.0,8282.90248087562,0.0,0.0,0.0
7,0.47558634847590947,-0.0,8221.270039423829,0.0,0.0,0.0
8,0.4721608192928162,-0.0,8159.637597972036,0.0,0.0,0.0
9,0.4687609702936612,-0.0,-0.0,0.0,0.0,0.0
10,0.4687609702936612,-0.0,8072.908852820085,0.0,0.0,0.0
11,0.46539725827165285,-0.0,8047.812549119927,0.0,0.0,0.0
12,0.46204400304285287,-0.0,8022.716245419767,0.0,0.0,0.0
13,0.4587012046072613,-0.0,8030.616282369025,0.0,0.0,0.0
14,0.4553551144896076,-0.0,8038.51631931828,0.0,0.0,0.0
15,0.45200573268989164,-0.0,8046.416356267537,0.0,0.0,0.0
16,0.4486530592081135,-0.0,8112.476933854869,0.0,0.0,0.0
17,0.44527286048567394,-0.0,8178.537511442201,0.0,0.0,0.0
18,0.44186513652257303,-0.0,8244.598089029534,0.0,0.0,0.0
19,0.4384298873188107,100000.0,-0.0,0.0,0.0,0.0
20,0.4800965539854774,-0.0,-0.0,0.0,0.0,0.0
21,0.4800965539854774,100000.0,-0.0,0.0,0.0,0.0
22,0.5217632206521441,-0.0,8234.702429511697,0.0,0.0,0.0
23,0.5183320946398475,-0.0,8258.566271334295,0.0,0.0,0.0
24,0.5148910253601249,-0.0,8282.430113156892,0.0,0.0,0.0
25,0.5114400128129761,-0.0,8408.107973394108,0.0,0.0,0.0
26,0.5079366344907286,-0.0,8533.785833631324,0.0,0.0,0.0
27,0.5043808903933822,-0.0,8659.46369386854,0.0,0.0,0.0
28,0.500772780520937,-0.0,8631.253246896682,0.0,0.0,0.0
29,0.4971764250013967,-0.0,8603.042799924822,0.0,0.0,0.0
30,0.49359182383476136,100000.0,-0.0,0.0,0.0,0.0
31,0.535258490501428,100000.0,-0.0,0.0,0.0,0.0
32,0.5769251571680947,100000.0,-0.0,0.0,0.0,0.0
33,0.6185918238347613,100000.0,-0.0,0.0,0.0,0.0
34,0.6602584905014279,100000.0,-0.0,0.0,0.0,0.0
35,0.7019251571680946,-0.0,8387.452908096204,0.0,0.0,0.0
36,0.6984303851230544,-0.0,8289.184739894392,0.0,0.0,0.0
37,0.6949765581480984,-0.0,8259.75066212762,0.0,0.0,0.0
38,0.691534995372212,-0.0,8230.316584360851,0.0,0.0,0.0
