time_step,SOC_batt,p_batt_charge,p_batt_discharge,p_RES,p_curtailment,p_RES_net
0,0.5,-0.0,8565.408695727687,0.0,0.0,0.0
1,0.4960345330112372,-0.0,8476.510386552969,0.0,0.0,0.0
2,0.4921102226470923,-0.0,8387.61207737825,0.0,0.0,0.0
3,0.48822706890756534,-0.0,8298.713768203532,0.0,0.0,0.0
4,0.4843850717926563,-0.0,8293.443339094229,0.0,0.0,0.0
5,0.48054551469122375,-0.0,8288.172909984924,0.0,0.0,0.0
6,0.4767083976032678,-0.0,8282.90248087562,0.0,0.0,0.0
7,0.47287372052878834,-0.0,8221.270039423829,0.0,0.0,0.0
8,0.46906757699201806,-0.0,8159.637597972036,0.0,0.0,0.0
9,0.46528996699295694,-0.0,-0.0,0.0,0.0,0.0
10,0.46528996699295694,-0.0,8072.908852820085,0.0,0.0,0.0
11,0.46155250919072544,-0.0,8047.812549119927,0.0,0.0,0.0
12,0.45782667004761435,-0.0,8022.716245419767,0.0,0.0,0.0
13,0.45411244956362373,-0.0,8030.616282369025,0.0,0.0,0.0
14,0.45039457165511954,-0.0,8038.51631931828,0.0,0.0,0.0
15,0.4466730363221018,-0.0,8046.416356267537,0.0,0.0,0.0
16,0.44294784356457056,-0.0,8112.476933854869,0.0,0.0,0.0
17,0.43919206720630444,-0.0,8178.537511442201,0.0,0.0,0.0
18,0.43540570724730343,-0.0,8244.598089029534,0.0,0.0,0.0
19,0.43158876368756754,-0.0,-0.0,0.0,0.0,0.0
20,0.43158876368756754,-0.0,-0.0,0.0,0.0,0.0
21,0.43158876368756754,-0.0,-0.0,0.0,0.0,0.0
22,0.43158876368756754,-0.0,8234.702429511697,0.0,0.0,0.0
23,0.4277764014516825,-0.0,8258.566271334295,0.0,0.0,0.0
24,0.4239529911408796,-0.0,8282.430113156892,0.0,0.0,0.0
25,0.4201185327551588,-0.0,8408.107973394108,0.0,0.0,0.0
26,0.41622589017488376,-0.0,8533.785833631324,0.0,0.0,0.0
