time_step,SOC_batt,p_batt_charge,p_batt_discharge,p_RES,p_curtailment,p_RES_net
0,0.5,-0.0,8565.408695727687,0.0,0.0,0.0
1,0.49643107971011347,-0.0,8476.510386552969,0.0,0.0,0.0
2,0.49289920038238305,-0.0,8387.61207737825,0.0,0.0,0.0
3,0.48940436201680876,-0.0,8298.713768203532,0.0,0.0,0.0
4,0.48594656461339064,-0.0,8293.443339094229,0.0,0.0,0.0
5,0.4824909632221014,-0.0,8288.172909984924,0.0,0.0,0.0
6,0.479037557842941,-0.0,8282.90248087562,0.0,0.0,0.0
7,0.47558634847590947,-0.0,8221.270039423829,0.0,0.0,0.0
8,0.4721608192928162,-0.0,8159.637597972036,0.0,0.0,0.0
9,0.4687609702936612,4961.770916380991,0.0,0.0,0.0,0.0
10,0.4708283748421533,-0.0,8072.908852820085,0.0,0.0,0.0
11,0.4674646628201449,-0.0,8047.812549119927,0.0,0.0,0.0
12,0.46411140759134495,-0.0,8022.716245419767,0.0,0.0,0.0
13,0.4607686091557534,-0.0,8030.616282369025,0.0,0.0,0.0
14,0.45742251903809966,-0.0,8038.51631931828,0.0,0.0,0.0
15,0.4540731372383837,-0.0,8046.416356267537,0.0,0.0,0.0
16,0.45072046375660557,-0.0,8112.476933854869,0.0,0.0,0.0
17,0.447340265034166,-0.0,8178.537511442201,0.0,0.0,0.0
18,0.4439325410710651,-0.0,8244.598089029534,0.0,0.0,0.0
19,0.4404972918673028,0.0,0.0,0.0,0.0,0.0
20,0.4404972918673028,0.0,0.0,0.0,0.0,0.0
21,0.4404972918673028,0.0,0.0,0.0,0.0,0.0
22,0.4404972918673028,-0.0,8234.702429511697,0.0,0.0,0.0
23,0.43706616585500624,-0.0,8258.566271334295,0.0,0.0,0.0
24,0.43362509657528364,-0.0,8282.430113156892,0.0,0.0,0.0
25,0.43017408402813495,-0.0,8408.107973394108,0.0,0.0,0.0
26,0.4266707057058874,-0.0,8533.785833631324,0.0,0.0,0.0
27,0.423114961608541,-0.0,8659.46369386854,0.0,0.0,0.0
28,0.41950685173609575,-0.0,8631.253246896682,0.0,0.0,0.0
29,0.41591049621655546,-0.0,8603.042799924822,0.0,0.0,0.0
30,0.4123258950499201,0.0,0.0,0.0,0.0,0.0
31,0.4123258950499201,0.0,0.0,0.0,0.0,0.0
32,0.4123258950499201,0.0,0.0,0.0,0.0,0.0
33,0.4123258950499201,0.0,0.0,0.0,0.0,0.0
34,0.4123258950499201,0.0,0.0,0.0,0.0,0.0
35,0.4123258950499201,-0.0,8387.452908096204,0.0,0.0,0.0
36,0.40883112300488006,-0.0,8289.184739894392,0.0,0.0,0.0
37,0.40537729602992406,-0.0,8259.75066212762,0.0,0.0,0.0
38,0.40193573325403753,-0.0,8230.316584360851,0.0,0.0,0.0
39,0.3985064346772205,-0.0,8200.88250659408,0.0,0.0,0.0
