,PCC-Load1,PCC-Load2,ESS1-Load1,RES1-Load1,RES1-ESS1,ESS2-Load2,RES2-Load2,RES2-ESS2,Load1-Load2
0,0.08466169963862838,-0.016865726434085182,0.04996619789590404,-0.6065039092467887,-0.8519611137617522,0.21397139792620656,0.17237012635286098,-0.11995103757502742,-0.3873672016717132
1,0.0730438218338796,-0.012845295361620254,0.07826638156799078,-0.6060533752139621,-0.9021716249755103,0.21012845946178377,0.15439477418190542,-0.1758632078586448,-0.3697583434019259
2,0.10482405211486168,-0.04416487936105588,-0.01947373680500612,-0.7065372049698827,-0.8440700762806023,0.38065684998770344,0.18722135741613785,-0.6402315651139662,-0.5416998541759115
3,0.08583287356837051,-0.029466025720696672,-0.051862193204181055,-0.6622137662082874,-0.726072773020167,0.38813059804674066,0.1521290117995062,-0.789982002979311,-0.5271529752608567
4,0.03702266908722891,0.039805109096502936,0.2243655134422601,-0.5113653763807109,-1.0434264422409363,0.07901545124391073,0.027754074823373005,-0.16556323856245847,-0.16209724367687084
5,0.06512960304052864,0.008298918142130749,0.09831350115908996,-0.5623715999562987,-0.8739208424221493,0.23763096516367935,0.05301531486378112,-0.6164814617799265,-0.3133555133539886
6,0.0367586618318158,0.03809301830224077,0.21456679040360724,-0.5161773352803313,-1.0312859637212446,0.08037686769897236,0.045385082723133914,-0.10326174521882464,-0.1758537796155464
7,0.033601810553611194,0.0724129118606795,0.05009712778507245,-0.2419660697755476,-0.375439368644763,0.045083284423203564,-0.07320751149755729,-0.3690024819180141,-0.0656060930577581
8,0.03409630672680482,0.07183747089747639,0.047936948897521946,-0.23847645985327925,-0.3672029656166603,0.047652217248928944,-0.07374126464412699,-0.3798846916645907,-0.06598461537347457
9,0.03837334475570296,0.07551350999597455,0.053291813104442566,-0.24769912923664136,-0.3883202393159129,0.046850573004680277,-0.07431363028056533,-0.37929543829937545,-0.06704848029512073
10,0.04278538129433811,0.07715229619613281,0.04304211936680099,-0.23380283184998635,-0.3524906823945391,0.035995201609090796,-0.06935492620052024,-0.3230432320573239,-0.06341598512659292
11,0.07630518721826464,-0.01598525159763697,0.061143255755710786,-0.6561764819938367,-0.9309450617924312,0.28648822200633434,0.14040641811921867,-0.49864306445532997,-0.4302724293461235
12,0.044291309529961374,0.015744050341198954,0.07227624408369104,-0.5317475573198542,-0.8025473927623432,0.10425604653324484,0.15595074532901565,0.1836577162155619,-0.2974956508709564
13,0.08283742627569644,-0.026380199459654734,0.006182878677759908,-0.696194346414164,-0.882295992653589,0.3707232055778404,0.1241141542432207,-0.8530519958091588,-0.4896917750801446
14,0.0714207608481342,-0.017313316646779542,0.04472322916458545,-0.6534209718497693,-0.899888820993765,0.2709893256744146,0.1478391707784228,-0.41963070974804456,-0.42742896020311283
15,0.04611686387000616,0.002221459204521642,0.0961765549060685,-0.5389851669454957,-0.8551755978258319,0.17710419457390075,0.08179883016388553,-0.34214847651615665,-0.2865363532085057
16,0.0037765011030982997,0.052291694215662474,0.2537303325730338,-0.4634675892192797,-1.0421364669257964,0.05766309373612421,-0.038866806682030935,-0.3578057717312209,-0.09223558035822246
17,0.02832232884024794,0.058374312239019975,0.11365296890283513,-0.3632218237678698,-0.6442111910364957,0.12206855758886197,-0.08589405906848008,-0.6952760611877078,-0.11580564374317494
18,0.033752515248721596,0.0815790977644212,0.027632649254682656,-0.22357749538487273,-0.3116539135121841,0.018159526424289828,-0.061856077020214284,-0.23308149841607265,-0.060184051198487354
19,0.026209513621685006,0.08728024762761726,0.045456542579003785,-0.2462991782460384,-0.37219635223759395,0.017571096446868873,-0.07247093874134365,-0.27137153094386973,-0.05649478904601793
20,0.028079954690425787,0.07714877686665973,0.038931804807336844,-0.23744262224452312,-0.34937558087111115,0.02503054433616864,-0.06650658285476457,-0.2744298883300994,-0.062006172222195656
21,0.026910110303070854,0.07915369523437094,0.008716162196956102,-0.22020550793542001,-0.27274041023044465,0.042189230927414,-0.07483041513413066,-0.36519124867720504,-0.07057036002236342
22,0.04479501578279182,0.011728896545740268,0.15739351613661165,-0.6063825514434142,-1.0393975447994281,0.23519838600036932,0.022497560366442744,-0.7410401783653353,-0.29660398455342724
23,0.025875501161504052,0.015332409661381781,0.1476953210530307,-0.482430589206387,-0.8803744546652656,0.07113258477973566,0.08541651953664436,0.03945697755346107,-0.1978479916765642
24,0.05245565042874051,-0.008537706098959968,0.031148120983236757,-0.6476648140146054,-0.8670553822372384,0.23226346107905124,0.1893663889599269,-0.13447029675542657,-0.4363475507449113
25,0.06670610738250682,-0.019623342556209802,0.029785111024906066,-0.6777977416936659,-0.9025910664229578,0.3516004142481859,0.10481389585304868,-0.861022580894586,-0.45733861266142334
26,0.03563134045913291,0.010596940512811437,0.11208127185139552,-0.5634131873254592,-0.9131353954368522,0.1488735991450199,0.1170122379554722,-0.11587063552496268,-0.2981868240584115
27,0.021909265333644314,0.029472281617301935,0.14790404342849664,-0.4571447781664991,-0.8506164584670228,0.07143634858795862,0.05319454467900526,-0.08494490153739816,-0.17163418448404125
28,0.049577580234122585,-0.0013141575660206753,0.058411689713154344,-0.5951821237826446,-0.8544861427369742,0.28127155909739904,0.06447511642663098,-0.770592846722836,-0.36280856422779556
29,-0.00540708527840921,0.05786467834597201,0.2818567276109907,-0.4673040579918867,-1.0953041103745516,0.07852397979329834,-0.08555401301052623,-0.5944266902144844,-0.06978702185636991
30,0.034443268785029596,0.025201061031154076,0.038943177429215096,-0.5098032460965939,-0.694462835190735,0.1905156198692597,0.07096927013309397,-0.37238259287208103,-0.30571637770366583
31,0.00799517416757682,0.08713217651106124,0.02625542341476033,-0.22943918846538758,-0.3162798154847783,0.01375650464881562,-0.06272999630777445,-0.22122386200472097,-0.058288255536497524
32,0.001642544315609288,0.08353728266755703,0.05015012791700873,-0.25226981215530403,-0.38812198509087625,0.039183505398395185,-0.08108213533647923,-0.37857643023038007,-0.06048307096821236
33,0.001673769235053019,0.08019497240634532,0.04358722298647759,-0.24728451251837846,-0.3699605782460364,0.04109266817324495,-0.07623759844049326,-0.3667564276768663,-0.06414634509369889
34,0.006822973389463185,0.08238445641106482,0.039468675523468943,-0.2363947926238443,-0.34908138391533045,0.03826521850316075,-0.07571000213753559,-0.35500634275123094,-0.06074494322808644
35,0.06759765462544146,-0.02121676747599589,0.02707254435730905,-0.7028056674605234,-0.9284779711534199,0.3713192725178953,0.11285481413014098,-0.8973359047663867,-0.478445424872022
36,0.07270466925126938,-0.02244834400791723,-0.0038135701016887447,-0.6822175461557299,-0.84723051097427,0.3249001633239239,0.1664399187496729,-0.532842082236097,-0.48341587981034395
37,0.07446762823174916,-0.01809768764842998,-0.025776298205758302,-0.7073506201551665,-0.8379363273069937,0.22969380212678825,0.2937950412796732,0.2725779806769602,-0.5195496410758581
38,-0.04971413643866567,0.10307946925840644,0.2119604224627394,-0.2473991883943849,-0.713796610888943,-0.10217966986899757,-0.08828074029909766,-0.03975218744008601,0.07240552663609452
39,0.04864397803506951,-0.0012231007324311923,-0.02331100965588915,-0.6366386459093212,-0.7560209066248913,0.19433354144074141,0.24868470004431556,0.21917636388011244,-0.45652054172781337
40,-0.0014854987789439597,0.07782716029806207,-0.030587232438109443,-0.2529232764988694,-0.24412834428766064,0.04110132914755213,-0.0080756982665099,-0.12057808433015123,-0.12403767863125027
41,0.007350266124641245,0.09071816648746708,0.025072879908038376,-0.2409360486888398,-0.3281522230129586,0.01778414565430196,-0.05330257517531664,-0.19929915579393,-0.06851479824958691
42,0.010925554095511193,0.08893192902090168,0.08376973055583169,-0.2912349154609973,-0.4975622364029738,0.013270978178211289,-0.04955988626815465,-0.16952625397545004,-0.06527659400639355
43,0.011237876170847948,0.08328852545627034,0.10570398028647807,-0.2726852017419353,-0.5152388074413794,0.020907108718845897,-0.07503490676259446,-0.29260924188879817,-0.042188123660592686
44,-1.3995549137479095,-1.430585488054347,0.36643847283900177,0.6463366034164516,0.07281348381538928,0.8242280715365541,0.8999875470969886,0.4677501933071302,-0.3037904459143687
45,0.03175582458555155,0.07359592591307582,0.09710658796310083,-0.2824041419165863,-0.5113044335526052,0.023869978989551212,-0.04445134903750101,-0.186657332879399,-0.0657629945410983
46,0.030760414863035053,0.07806479767726521,0.0887098727046938,-0.2648992236589908,-0.47447456257808773,0.03036059169435997,-0.06516196758227942,-0.2876949470419103,-0.0558532188849737
47,-1.7084862842696116,-1.7918871829136358,0.38066210623342456,0.7890232457599577,0.2184417304872877,1.0558627990415148,1.1738897868763474,0.7034229742673308,-0.4508347200369081
48,0.03260968031630419,0.02637788263115832,0.19230758453752742,-0.43554715845817427,-0.9099483142520726,0.1825466716776661,-0.09166280837194227,-0.9988392102845584,-0.12738528072544208
49,0.07762526146903642,-0.02731603049640013,0.057047235317696635,-0.6175603538473968,-0.8810585438313225,0.3813970083093581,0.03342079491096555,-1.2152709444671252,-0.398804652161243
50,0.0982285502218619,-0.03658136996411584,-0.06951634734321033,-0.6241635038185929,-0.6548886877812462,0.316008587850386,0.23088870098015846,-0.2440911132996516,-0.5187339650101517
