line_index,S_max_MVA,P_max_MW,Q_max_MVAr
0,10.184458748504998,5.119435489907318,8.804236495271889
1,10.184458748504998,5.119435489907318,8.804236495271889
2,8.088677271346656,5.624346158124126,5.813211702113935
3,7.534421012924616,5.313514132607079,5.341728892651222
4,8.088677271346656,5.624346158124125,5.813211702113934
5,7.534421012924616,5.313514132607079,5.341728892651222
6,7.534421012924616,5.313514132607079,5.341728892651222
7,7.534421012924616,5.313514132607079,5.341728892651222
8,7.534421012924616,5.313514132607079,5.341728892651222
