Electric Power (kW),Source Temperature (K),Thermal Power (kW)
2300.266456017274,318.95284602760876,0.0
380.24194275526037,321.10964316214387,16.243191254728337
3854.4320653948494,313.9773025531759,995.5566309310602
2056.31090609516,319.71207380464784,743.8502409803971
1678.579063220405,321.8548997390616,774.9534339016799
5750.8217179644325,320.7795339334803,4655.319391670957
4889.218922454242,315.5386226800923,4135.252529124083
4973.858448853918,319.6059589111253,5310.496500643257
2843.1061882462054,318.8282223382634,2984.650627914314
4231.959850616657,321.5155494108541,5772.6456799947455
386.44896007276543,322.8097434397092,172.81625090661743
5563.622965209398,316.07771056056697,9017.001886261565
3601.4820782468755,320.35552643139476,6168.329211228491
3222.0104706733837,316.80932600402997,5459.444888314974
4751.1230908121215,315.7483605162891,9336.905936972502
4777.654307244444,314.44392770819013,9848.36071063011
3317.6922114352997,322.81960156469654,7317.660177609693
5846.602243771963,313.6456905827146,12517.40037616559
302.27051163669415,318.8421238166706,155.85597915762224
669.3009346039112,313.38687554909825,567.4976033149264
3606.9507715874242,319.5860440254015,7612.698901120609
2236.166954225411,320.22149294977226,4208.654291750044
3125.1880903158285,313.8875253497771,5764.176389424335
4756.257527425808,318.5080069391389,10529.58783479381
2566.2564410677014,315.5351923131413,4628.890183297916
4016.741285885924,314.2476219490168,7892.8771263861145
5151.201796360081,315.8926990289973,11120.4673365234
5846.992892186448,313.5873981205061,12505.965550987452
1845.778558956318,316.2529793309132,3001.063597233068
293.9751611360746,322.1422521428139,158.1126451542384
876.9434964919162,313.86468968379404,903.7256529059775
4104.507565327936,319.20024936516984,8860.607719613485
4999.886163233912,316.04016131284294,10732.796826273892
882.2444329079144,319.740993472923,1014.5258133229485
3578.0975634074384,314.06194163684546,6825.562072272402
415.3537453973162,322.37333386628916,291.71801673654954
4607.003062260205,316.695262154552,9782.94154259961
2824.502032631184,315.9572642052386,5268.516941364693
4035.4093920810833,314.4394403175144,7964.574748105065
848.3699952760537,320.0665537172487,956.2520596107164
2128.08331960857,316.6505514860683,3684.6622663689723
3387.4683001888147,322.6184327713446,7476.591626019302
3843.5999398575495,318.28342715005084,8032.309360315849
4859.366530392926,322.0506804423716,11579.345761247354
4428.271869600911,322.95089809481266,10477.414836592452
3129.9497371737725,315.17911493253365,5905.40938199181
322.43550682038034,313.33908684319664,158.34835159350325
4401.841583638004,317.09978752103257,9303.338883958542
1419.900676822736,313.5935317552281,1946.0851206915063
2259.1181200288897,318.2476249279083,4111.673427319157
2833.051848673096,319.4129373465098,5632.627524226353
4051.27023992205,320.95582284464024,9014.464678829178
4343.227075380166,314.8484622552769,8790.454077611084
4024.8507834023058,319.076288978182,8627.97591521352
491.945674743723,318.0410360724722,361.31959006677397
81.49443042031423,319.9858521120635,17.310695240588903
5903.92434703916,317.96985122957926,13666.18173534311
1503.0241382313668,316.5590921793189,2233.8772516356257
5275.536710900708,314.4976685264392,11187.260765728175
628.4689776129183,317.08285492304475,543.3115770854857
4355.836980532374,321.9254990941571,10055.368330525163
3821.5770777639236,317.98513140620463,7932.16799042887
5127.731182114296,321.1364076061462,12182.953398611491
2533.0436497316878,321.6892261952019,5102.167937602213
2132.27397706288,314.13673196683345,3535.204963206093
176.05799857826332,319.97878451522627,62.10236814646367
2629.9747315647714,314.2856360767808,4674.261566864133
1584.3673896074538,316.64342306432206,2420.5563284662817
3136.23882442269,317.41481270861243,6160.476135416107
3106.2313330909683,313.92136158904475,5724.352136260757
774.3810552317178,319.7227969822196,814.864245678405
4560.091474304008,315.32929231277075,9425.946802600061
3135.6494906827897,318.7420852990805,6310.979095892105
5860.6297364220345,317.78131075552415,13502.524765181948
4947.516563012876,317.08836353582194,10789.675678101334
3579.094553143016,322.14645159313477,7922.884502110193
3897.428262266257,318.48265612281426,8201.071596087966
4921.401759347725,313.5030494125143,10064.756406310877
3984.902746986944,315.3139093112434,7961.613383233981
320.8194195509426,322.32105172842387,185.02321791536778
1287.9749189597633,322.81869664159933,1984.7914151378388
2316.1023284263865,319.76896402584686,4372.847726795062
5525.911395188709,316.59950535335634,12306.356944694964
3894.1421264960563,321.40089705566993,8659.190348288712
2537.708747421762,318.2075709453341,4787.169124970678
387.2709720531917,321.74781884222233,254.776644151585
4852.017632578753,322.08393925694685,11564.574912295582
4079.996844035532,313.3991869669415,7931.2805036120735
691.9380781965956,313.64132774392317,603.3609794715758
1125.9103508143935,316.47389865329967,1423.3422478879015
559.0013041709783,318.7367694282302,457.2721084987674
5401.381826227555,321.5391458463795,13116.990146599152
3974.448373150098,313.6098963148683,7705.723346960126
4352.700556566959,315.5859801693374,8928.913383318333
760.0555842332917,320.9307960465267,807.955478441973
1463.5168054998471,321.5543915128241,2355.8612397647676
5365.587125038757,320.2390707931436,12684.946186188741
5962.003702069501,318.78542471695926,14030.853848599027
2418.2629858292985,318.291439917164,4503.028018943122
2293.0486200362816,320.09822781087087,4342.127239202706
4960.325870450205,316.14383205471324,10643.901686483709
5094.137335968506,315.615185922753,10909.872169907472
4053.9957307338327,319.9233706783879,8845.341359246837
2751.6837342548765,315.9207214281951,5094.499779313025
205.37550295140306,319.98944051559266,81.0347965817115
2955.462287314602,314.4676732014134,5432.604676972075
922.3339321481296,317.9727139848307,1056.7988818597973
3798.1610768772716,321.0852645040792,8346.107573253517
5662.7739283339215,315.17704012403686,12368.506185958755
2184.0240198498536,319.61300578074054,4030.2659220813434
5589.499187123014,319.1536377006928,13079.394046142126
3129.9452801898333,319.366997224324,6370.747809808984
2823.3181149067123,323.11459590461124,6027.001793434032
1197.6418626770942,318.8032101181137,1638.529588725665
4772.029049429237,321.7793790230453,11254.173435729123
1478.9928630059899,313.9587427947729,2083.279575759346
2171.8241094131054,322.07062388976334,4194.093613127821
4570.813259674349,315.48838051137665,9480.438686639964
5894.516667839127,321.097219080095,14468.891140511712
3314.8634940343604,318.6925187752014,6751.1407078710845
452.3349906781404,313.99525087169127,290.3529988852001
1797.108053732377,320.47259844292046,3122.742870001033
2898.0782792250266,321.3487598738233,6013.798414138506
4352.9267377022525,319.6974590489117,9624.404895969119
5553.471905807486,322.19723207105835,13757.535691800746
5373.148887349996,320.54612542869216,12782.406081372575
5632.88333207419,315.9365566525766,12453.811185733502
5038.7984096645905,314.92545058608766,10629.564960794249
1386.3618637453683,315.6099622136441,1942.8490308847747
892.4864467809059,313.68488483454394,927.6789655081145
1019.1539327804679,319.5194250761037,1281.3209996237047
3677.1120797253893,315.4138747665797,7225.001554865581
3369.4625490683693,318.23507479826924,6829.69533356093
590.7869590618449,316.4609948711418,482.8611535257623
736.6902909199981,315.8396110995224,697.4895074575461
1122.2803605792985,322.3522514413388,1581.6030742392818
3565.0703325326103,318.9654854302379,7417.828919632982
2678.0217238210907,318.8221393541151,5187.988281004101
5992.710243683266,314.546586488078,13080.548226820129
5568.452979674213,317.90855341258606,12721.97065299957
3807.2518662484026,313.7264805483941,7323.017920382777
1219.9964015588744,319.7081401541458,1715.976050996141
1136.4677255581803,319.51740225530045,1527.6816107949473
4024.9465233213577,322.03454440883667,9132.371130380565
256.511995351294,318.8182394786202,116.79811892176949
4037.4331255171974,322.9153729865068,9329.473203832351
3808.948857106229,320.6748283766425,8309.133866403059
2609.9860580637787,319.1647867726753,5052.345792528077
1234.7519279638461,320.7608410036521,1784.259884262532
1401.7236180209272,317.4423948858774,2041.7174350298924
3795.2883771829574,314.515969111615,7394.3217275134775
5788.419344451436,319.19924767900073,13659.213712604145
708.5449951868557,318.01879868536463,678.8360590378013
2451.9329495212737,321.7934279799662,4900.983016129934
705.012664204187,319.01317047062867,685.5685758016798
5135.009015961803,318.20595123091124,11547.768614936882
5402.439126816253,319.33960078355585,12578.978294221068
5590.6814680438165,319.84264121604167,13253.625786843095
3729.1257204751,319.1194368164492,7860.610880428857
4103.732085410616,314.1913075386062,8097.37062557369
367.1424869423026,317.7317461704345,214.97481691537462
2800.347805213224,318.40158028616025,5447.332993081696
2476.146968367696,318.97909647306966,4703.876013461849
659.6110675088967,318.92222196330124,610.6966926888459
3143.337705305188,315.70545922814836,5991.6728047055285
117.26741033051269,320.7195133801466,31.699425471173637
5183.375357538013,319.27559394479226,11921.22616279845
5788.7659275987335,315.3813499733721,12747.325538320792
1134.380425232738,322.6172470387768,1617.4967757858278
5886.74160855203,314.1093560120953,12718.700856475953
1351.2617434695262,317.0637879237065,1916.7026715161055
4350.761816179286,315.5414494498784,8916.937447242455
2560.795842562261,317.76661185694974,4804.462366518473
1564.6481131351688,318.1323967034738,2440.963598547552
5660.293426269949,321.9673769723349,14020.491447145643
2717.727812994912,322.0017986550349,5617.771763743694
3034.440902880473,321.6159008390914,6401.35231106404
1384.373284247793,316.3270815530314,1963.3461233876735
1624.0937686972625,321.3542229539518,2741.7038022577
560.5071369774386,320.57085639573637,475.60160800509993
3740.751694303089,322.63604447420386,8445.160139707068
1605.8703864666847,313.9477869985107,2355.5340915400493
4105.041596783699,318.40851817966075,8732.520937725625
207.794681273338,314.50543850976993,74.87955253785277
530.9317084594336,317.27955205351105,407.0567948640085
3638.5826123487586,315.8264457853926,7184.368142076918
4369.4700645481735,320.8141847101273,9878.68528855372
2784.201551089057,316.54424113396044,5228.330059227672
154.3955104689554,320.2949794855841,49.91610445052602
4909.417361512865,316.0811203017492,10492.77521967125
5304.077943153369,316.89692273157993,11750.722722568727
955.4918649991957,318.65154650414365,1134.3235733442157
656.1185406126848,323.0489143686058,655.4662065244844
2766.846016917811,314.96247411922474,5044.465970153732
5560.326430843864,316.75541096232735,12436.337238636534
4408.200123921104,320.225030734092,9876.645335806097
4128.564631029206,319.90749210880114,9044.906056647747
5316.246442801398,317.6114640596043,11938.299378138132
3834.7499662700907,319.33792947397717,8168.206569651708
571.9204982119801,321.4583700125439,501.0676434579942
4114.0397666489625,319.81845129562817,8990.213198945243
5983.174562448107,318.9261368638343,14124.575558832292
2673.3697913894994,320.97502177465276,5392.244918856306
5065.856647494399,319.0475786226197,11527.95476261072
5948.607005494352,318.0599509894692,13808.476496641088
677.6311282721266,313.56656337440756,581.4283884991613
2455.901295044966,320.6269847200564,4801.306657531686
2729.794149991054,321.36590331355825,5579.462875868679
324.7225616715086,322.09147302068516,188.14475835556829
573.8446031807943,319.78705260588305,488.0653562835452
991.1288516726604,322.5293596463202,1297.7540233951518
1940.9199622746014,319.10608716454,3393.742950092564
794.1654753539331,317.5239987977186,816.3585031844034
2653.809246496932,314.603628493832,4754.501022536893
2251.8301897535757,318.28975848035986,4097.113445898348
1362.3137760861637,313.5246962927039,1824.2883461327315
1232.3174615497924,315.0885818696429,1603.1258617239914
682.5275208200902,321.3669281288491,678.3901901150958
3386.2583696182623,315.0920999245712,6495.110533353154
949.4830093435415,315.9433483807144,1068.857726228057
4490.53419742687,322.5172809964031,10571.477807840207
5144.049891943912,319.37864154260967,11828.834772217006
4500.439723155611,319.1014469143212,9925.040683946618
5398.787475504499,318.29981703029335,12327.520616233878
5560.508353390765,315.1123713842745,12080.44411019171
2664.8504555509867,320.9150512548096,5364.127781600857
5627.771816491532,315.1877991036537,12277.215529983132
2005.0002843762536,322.4641405824765,3788.426968493554
903.0485308136682,323.1331924240372,1126.7542717118433
4859.312755508761,313.2867748354584,9866.523081136189
2077.5590677850187,314.47777277260633,3431.9076769894555
3036.460025718567,314.3710478659801,5608.844902226806
2071.448087285154,317.7979341306889,3625.675067346112
4527.342952068411,315.84394767007035,9425.325819594456
1937.8518303265257,314.30655915485914,3106.8836509145485
2162.8356167163406,314.4059856269421,3620.948632159967
5807.600117006813,318.6379922953677,13570.494145118293
2541.667125349895,316.0413737369302,4612.78688567546
3755.2832416561523,321.3945737869784,8280.221414309193
358.9828612459651,320.02968912381544,215.6739979271523
4318.00804369786,318.60516132681954,9334.937175452498
4808.026221035738,322.5380736055263,11534.293094354727
3114.761865844735,321.355343669879,6578.076938296442
1869.6439809459537,320.6097995520482,3312.5676382270367
2307.6977179772134,317.01448262145607,4135.995488515547
3590.2855995760324,320.5335416627655,7707.313581144403
4088.8845048953513,317.3715091339464,8526.543136918031
346.8741682523069,314.15430037249956,182.59315554208598
