,0,1,2,3
Outdoor Air/Water_Regulated,7.944638139893411e-05,0.007490019075780989,0.17390575781364812,2.95585273290288
Outdoor Air/Water_On-Off,-0.0005019514598461935,0.009484570400359797,0.16380807574491793,2.65923040935673
Brine/Water_Regulated,-0.0007114927573943954,0.00350200364298722,0.13900444097493284,3.6207242258652115
Water/Water_On-Off,-3.9097744360899126e-05,0.0034210526315789774,0.11463007518796933,4.227368421052632
Brine/Water_On-Off,-1.0749454280860945e-05,0.0012012224108658945,0.0643608246422502,3.4665594567062823
Brine/Water and Water/Water_Regulated,-0.0005913908482546535,0.00244395008138901,0.14913279073973582,3.826999023331525
Water/Water_Regulated,-0.0014803341687552232,0.004367017543859632,0.18867923141186324,4.14901614035088
Brine/Water and Water/Water_On-Off,1.8931588229832413e-05,0.0008413255360624464,0.0839929870973728,3.732663937621831
