time,p_grid_draw
01.01.2023 00:00,0.0
01.01.2023 00:15,0.0
01.01.2023 00:30,0.0
01.01.2023 00:45,0.0
01.01.2023 01:00,0.0
01.01.2023 01:15,0.0
01.01.2023 01:30,0.0
01.01.2023 01:45,0.0
01.01.2023 02:00,0.0
01.01.2023 02:15,0.0
01.01.2023 02:30,0.0
01.01.2023 02:45,0.0
01.01.2023 03:00,0.0
01.01.2023 03:15,0.0
01.01.2023 03:30,0.0
01.01.2023 03:45,0.0
01.01.2023 04:00,0.0
01.01.2023 04:15,0.0
01.01.2023 04:30,0.0
01.01.2023 04:45,0.0
01.01.2023 05:00,0.0
01.01.2023 05:15,2.328306436538697e-10
01.01.2023 05:30,0.0
01.01.2023 05:45,0.0
01.01.2023 06:00,0.0
01.01.2023 06:15,0.0
01.01.2023 06:30,0.0
01.01.2023 06:45,0.0
01.01.2023 07:00,0.0
01.01.2023 07:15,0.0
01.01.2023 07:30,994593.1222182628
01.01.2023 07:45,0.0
01.01.2023 08:00,0.0
01.01.2023 08:15,0.0
01.01.2023 08:30,0.0
01.01.2023 08:45,0.0
01.01.2023 09:00,0.0
01.01.2023 09:15,0.0
01.01.2023 09:30,0.0
01.01.2023 09:45,0.0
01.01.2023 10:00,1005854.3257464295
01.01.2023 10:15,1008695.7576368497
01.01.2023 10:30,1011391.3351921997
01.01.2023 10:45,1013921.3298715728
01.01.2023 11:00,1017173.3837588825
01.01.2023 11:15,1017745.3954918404
01.01.2023 11:30,1018462.8068988621
01.01.2023 11:45,1019343.387411702
01.01.2023 12:00,0.0
01.01.2023 12:15,0.0
01.01.2023 12:30,0.0
01.01.2023 12:45,0.0
01.01.2023 13:00,0.0
01.01.2023 13:15,1031356.2026097807
01.01.2023 13:30,1049212.6545643022
01.01.2023 13:45,1067313.1448141318
01.01.2023 14:00,1082711.3078222198
01.01.2023 14:15,1063725.4501511669
01.01.2023 14:30,1046874.0041872853
01.01.2023 14:45,0.0
01.01.2023 15:00,0.0
01.01.2023 15:15,0.0
01.01.2023 15:30,0.0
01.01.2023 15:45,992587.0141451512
01.01.2023 16:00,1.1727163280184775e-10
01.01.2023 16:15,992714.7503149885
01.01.2023 16:30,2.328306436538697e-10
01.01.2023 16:45,993444.7645722739
01.01.2023 17:00,0.0
01.01.2023 17:15,0.0
01.01.2023 17:30,0.0
01.01.2023 17:45,992343.8762601608
01.01.2023 18:00,992332.314892858
01.01.2023 18:15,992458.6223098738
01.01.2023 18:30,2.3456709422398793e-10
01.01.2023 18:45,0.0
01.01.2023 19:00,0.0
01.01.2023 19:15,2.328306436538697e-10
01.01.2023 19:30,992689.549256146
01.01.2023 19:45,0.0
01.01.2023 20:00,2.328306436538697e-10
01.01.2023 20:15,0.0
01.01.2023 20:30,2.328306436538697e-10
01.01.2023 20:45,2.328306436538697e-10
01.01.2023 21:00,0.0
01.01.2023 21:15,0.0
01.01.2023 21:30,0.0
01.01.2023 21:45,2.328306436538697e-10
01.01.2023 22:00,991836.8613061982
01.01.2023 22:15,991934.931409127
01.01.2023 22:30,0.0
01.01.2023 22:45,0.0
01.01.2023 23:00,0.0
01.01.2023 23:15,0.0
01.01.2023 23:30,991399.1284268213
01.01.2023 23:45,0.0
02.01.2023 00:00,0.0
02.01.2023 00:15,0.0
02.01.2023 00:30,0.0
02.01.2023 00:45,991803.7123803208
02.01.2023 01:00,991616.1990040443
